method,ROC_AUC,AUC_CI_low,AUC_CI_high,PR_AUC,Brier,fit_sec
RandomForest,0.861,0.8078,0.9082,0.8278,0.1475,2.323
EBM,0.8562,0.8015,0.9051,0.8269,0.1475,4.101
Elastic-Net,0.8485,0.794,0.9009,0.8301,0.1506,0.0802
L2-Logistic,0.8474,0.7937,0.9002,0.8288,0.1511,0.0084
SVM-RBF,0.8431,0.7847,0.894,0.8071,0.1579,0.1301
HistGB,0.8387,0.7836,0.8876,0.7832,0.1831,1.4697
XGBoost,0.836,0.7798,0.8863,0.7765,0.1771,0.4458
Gaussian NB,0.8208,0.757,0.8793,0.7956,0.2156,0.0035
k-NN(15),0.7229,0.6508,0.7906,0.6947,0.2036,0.0188
