Metric,Balanced RF,Elastic LR,Elastic+LGBM Blend,Elastic+LGBM Blend Routed,LightGBM,Logistic Reg.,MLP,Random Forest,SVM
AUC,0.9171757044891372,0.8726084826831096,0.9499582204806086,0.9753572869244512,0.996542384602086,0.8702457788278684,0.8864677577364145,0.9140566472656024,0.8625813980291592
Accuracy,0.8452830188679246,0.7974842767295598,0.8779874213836478,0.9132075471698112,0.9522012578616352,0.7987421383647799,0.810062893081761,0.8289308176100629,0.7547169811320755
Sensitivity,0.8764478764478765,0.7953667953667953,0.8146718146718147,0.8532818532818532,0.9922779922779924,0.7683397683397684,0.806949806949807,0.8146718146718147,0.8416988416988417
Specificity,0.8302238805970149,0.7985074626865671,0.9085820895522388,0.9421641791044776,0.9328358208955224,0.8134328358208955,0.8115671641791045,0.835820895522388,0.7126865671641791
F1,0.7868284228769498,0.7190226876090751,0.8131021194605009,0.8649706457925636,0.9311594202898552,0.7132616487455197,0.7346221441124781,0.7562724014336918,0.6909667194928685
