Threshold,Model_NetBenefit,TreatAll_NetBenefit,TreatNone_NetBenefit,Model
0.6100000000000001,0.10749506903353052,-0.577909270216963,0.0,LGBM top25
0.6200000000000001,0.10247975708502022,-0.6194331983805672,0.0,LGBM top25
0.63,0.0994022869022869,-0.6632016632016633,0.0,LGBM top25
0.64,0.08173076923076922,-0.7094017094017095,0.0,LGBM top25
0.65,0.0872252747252747,-0.7582417582417584,0.0,LGBM top25
0.66,0.07918552036199095,-0.809954751131222,0.0,LGBM top25
0.67,0.07094988344988343,-0.8648018648018652,0.0,LGBM top25
0.68,0.06249999999999997,-0.9230769230769234,0.0,LGBM top25
0.6900000000000001,0.05862282878411906,-0.9851116625310179,0.0,LGBM top25
0.7000000000000001,0.05128205128205128,-1.0512820512820518,0.0,LGBM top25
0.7100000000000001,0.03779840848806364,-1.1220159151193643,0.0,LGBM top25
0.7200000000000001,0.02403846153846151,-1.1978021978021987,0.0,LGBM top25
0.7300000000000001,0.027777777777777735,-1.2792022792022801,0.0,LGBM top25
0.7400000000000001,0.023668639053254392,-1.3668639053254448,0.0,LGBM top25
0.7500000000000001,0.024038461538461495,-1.4615384615384628,0.0,LGBM top25
0.76,0.015224358974358962,-1.5641025641025643,0.0,LGBM top25
0.77,0.010869565217391283,-1.675585284280937,0.0,LGBM top25
0.78,-0.003496503496503503,-1.7972027972027975,0.0,LGBM top25
0.79,-0.018315018315018347,-1.930402930402931,0.0,LGBM top25
0.8,0.009615384615384595,-2.0769230769230775,0.0,LGBM top25
