Metric,Balanced RF,Elastic LR,Elastic+LGBM Blend,LightGBM,Logistic Reg.,MLP,Random Forest,SVM
AUC,0.9683772258399124,0.9150291015962656,0.9990275456693368,0.9996974586526826,0.913372327551432,0.9620382642770702,0.9743920359592002,0.9058448106955568
Accuracy,0.8905660377358491,0.8276729559748428,0.9773584905660376,0.9660377358490566,0.8264150943396227,0.8779874213836478,0.8880503144654088,0.8213836477987422
Sensitivity,0.942084942084942,0.8455598455598455,0.9382239382239382,1.0,0.833976833976834,0.942084942084942,0.945945945945946,0.8223938223938224
Specificity,0.8656716417910447,0.8190298507462687,0.996268656716418,0.9496268656716418,0.8227611940298507,0.8470149253731343,0.8600746268656716,0.8208955223880597
F1,0.8486956521739131,0.7617391304347826,0.9642857142857144,0.9504587155963304,0.7578947368421053,0.8341880341880342,0.846286701208981,0.75
