feature,error_shift,error_mean,correct_mean
D_TSH_3M-0M,0.4531468544510724,-0.0752894865912321,16.062220941508855
TSH_3M,0.439457904339135,4.747636552586057,16.106916729340366
TSH_last_over_0M_plus1,0.4370769230535831,5.690764662210252,16.81520589880905
TSH_last_minus_prev,0.4169469460579817,4.569609727071238,15.408691710107526
FT4_last_over_0M,0.2587985745006118,23.8984880442395,0.6184760293183275
FT4_last_over_TSH_last_plus1,0.2299268395202527,13.230215668156305,10.5392965792105
TSH_mean,0.2002846609812867,3.2495298057593884,5.616612512134908
TSH_0M,0.1987772787379533,4.82292603917729,0.0446957878315132
FT4_mean,0.191309350750445,22.95848024225859,21.479275440078844
TSH_std,0.1900151885342274,4.55794344591767,7.684678248245968
FT3_0M,0.1798461690427454,20.023961578599813,18.281591263650547
FT4_0M,0.1740362923350719,31.62158326587424,29.2751014262944
FT4_3M,0.1543427576044677,16.187355799995995,14.69301989586093
HalfLife,0.1500029179060402,5.189123384544346,5.435120903726294
D_FT3_3M-0M,0.1480474353003573,-13.20666717723156,-11.572279239848683
FT3_mean,0.1419350300974776,12.023991531248983,11.301339705068669
ThyroidW,0.1370714759183371,36.49071273574269,33.114754815806066
Uptake24h,0.1219914295295769,1.707955408660936,1.016199153027521
TSH_1M,0.1139210105514469,0.1780268255148193,0.6982250192328423
RAI3d,0.1052926438388742,3.401377345630427,3.135667889371412
TRAb,0.1019488606019107,19.154435637616036,17.844578833060037
TreatCount,0.0911140213462237,1.077922077922078,1.1060842433697349
Exophthalmos,0.0882475316680953,1.1441982192802431,1.1154446177847115
ThyroidW_x_FT3_last,0.0810433040224651,250.1161461441224,291.1321056125814
FT4_last_minus_prev,0.0770864986527592,-4.8791458609095475,-5.776685102220264
TGAb,0.0709747907761608,401.05316776286526,352.18403477534247
FT3_last_over_0M,0.0645063579553385,0.4769714276214916,0.5167086430190412
FT3_std,0.0636127422571071,6.6888928457446815,6.433855470955262
TPOAb,0.0618268979729427,519.5522821678095,494.73719557838126
TRAb_x_FT4_last,0.0606246048908475,292.97919895020107,273.1775901703957
FT4_1M,0.056802100073072,21.06650166090554,20.469704998081195
Height,0.055139725291948,1.64291373690347,1.6470452988207622
D_FT4_3M-0M,0.0536050843483376,-15.434227465878246,-14.582081530433474
Dose,0.0516412933507076,6.733766233766234,6.461776729276454
FT3_1M,0.0482832420277467,9.23071861377889,8.913115827753595
BMI,0.0420598007497012,22.79800432961376,22.662868819402213
MaxUptake,0.0403868161073336,0.7501711573762727,0.7453077484335809
Sex,0.0286029756337934,0.2142857142857142,0.2262090483619344
FT3_last_minus_prev,0.028545402446495,-2.413424212410639,-2.2038038039517325
TRAb_x_FT3_last,0.0204939128713793,126.0119704130021,130.116424011644
FT4_std,0.0187327709252228,8.642679453862572,8.744720291654703
FT3_3M,0.0182109486467804,6.817294401368251,6.709312023801862
Age,0.0164911141702716,43.79220779220779,43.54446177847114
FT3_last_over_FT4_last,0.0142194590801903,0.4232494440634118,0.4250037030499505
Weight,0.0028867568543021,61.736439520602595,61.70450978220525
ThyroidW_x_FT4_last,0.0005146920268972,579.0970059194709,579.5208181261988
