N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Macro_AUC_OVR,Macro_PR_AUC_OVR,Brier_Multiclass,Hyper_Support,Hyper_Prevalence,Hyper_AUC,Hyper_PR_AUC,Hyper_Recall,Normal_Support,Normal_Prevalence,Normal_AUC,Normal_PR_AUC,Normal_Recall,Hypo_Support,Hypo_Prevalence,Hypo_AUC,Hypo_PR_AUC,Hypo_Recall,Landmark,Split,Model,Feature_Count
795,0.6515723270440251,0.6617248562301655,0.6545066495066495,0.6511323749625637,0.8234904140718554,0.6735857664242086,0.468061951429414,259,0.32578616352201256,0.8846741197487467,0.8059134236585463,0.7104247104247104,187,0.23522012578616353,0.8568727132001126,0.5884413669485208,0.6844919786096256,349,0.4389937106918239,0.728924409266707,0.6264025086655589,0.5902578796561605,6M,OOF_Train,Multinomial LR C0.3,55
208,0.6778846153846154,0.6795492662473794,0.6747718215109519,0.6760169637207679,0.8405298403745308,0.7261429911578058,0.4427081270027877,80,0.38461538461538464,0.89208984375,0.8295026509743896,0.775,53,0.2548076923076923,0.8740109555690809,0.6746314207760945,0.7169811320754716,75,0.3605769230769231,0.7554887218045113,0.6742949017229333,0.5466666666666666,6M,Temporal_Test,Multinomial LR C0.3,55
795,0.650314465408805,0.6597786865779449,0.6530421207145346,0.6496934091355042,0.8200689671314064,0.6696482735769421,0.4730746596834183,259,0.32578616352201256,0.880099982711923,0.7967474906621158,0.7181467181467182,187,0.23522012578616353,0.8573564593301435,0.598383177147755,0.6737967914438503,349,0.4389937106918239,0.7227504593521529,0.6138141529209555,0.5873925501432665,6M,OOF_Train,Multinomial LR C1,55
208,0.6682692307692307,0.66937106918239,0.6655753711840556,0.6676027728625299,0.8341602382314136,0.7150010106151284,0.45171885230414677,80,0.38461538461538464,0.8884765625,0.822263201242553,0.75,53,0.2548076923076923,0.8640292148508825,0.6490077216050028,0.6981132075471698,75,0.3605769230769231,0.7499749373433584,0.6737321089978296,0.56,6M,Temporal_Test,Multinomial LR C1,55
795,0.6918238993710691,0.6999126453028358,0.6923770002640056,0.6915719683884821,0.8528511296462256,0.7190813025972115,0.42453724256742714,259,0.32578616352201256,0.9080202270500778,0.8172432083658613,0.7606177606177607,187,0.23522012578616353,0.880215662820152,0.6357882791219684,0.7058823529411765,349,0.4389937106918239,0.7703174990684467,0.7042124203038048,0.6332378223495702,6M,OOF_Train,Random Forest,55
208,0.7211538461538461,0.7248060796645702,0.7184061815246223,0.7211196916334732,0.8461838964049212,0.7214171519887159,0.41882815490128483,80,0.38461538461538464,0.9064453125,0.8694256862857501,0.7875,53,0.2548076923076923,0.8688983566646379,0.63001943843021,0.7735849056603774,75,0.3605769230769231,0.7632080200501254,0.6648063312501874,0.6133333333333333,6M,Temporal_Test,Random Forest,55
795,0.670440251572327,0.6838348019875072,0.672192345962641,0.6708456696532382,0.8471585721989014,0.7156001066540946,0.46384824708058386,259,0.32578616352201256,0.9023655852014061,0.8261230660808112,0.7335907335907336,187,0.23522012578616353,0.8743755277230509,0.6346093763676341,0.7219251336898396,349,0.4389937106918239,0.7647346036722474,0.6860678775138381,0.5959885386819485,6M,OOF_Train,ExtraTrees,55
208,0.7355769230769231,0.7436740041928721,0.7332234585050607,0.7343501545147835,0.8410200172175468,0.7160119956140507,0.4608400570419015,80,0.38461538461538464,0.89765625,0.8565470494526959,0.7875,53,0.2548076923076923,0.8718198417528911,0.6169290857966807,0.8301886792452831,75,0.3605769230769231,0.7535839598997494,0.6745598515927754,0.6133333333333333,6M,Temporal_Test,ExtraTrees,55
795,0.6779874213836478,0.670043854436236,0.6729542404005043,0.6775430525076408,0.846776327135886,0.7130547743012272,0.455475211404336,259,0.32578616352201256,0.9017316890451218,0.8228927873593123,0.7567567567567568,187,0.23522012578616353,0.8776210244863495,0.6218145283931079,0.5828877005347594,349,0.4389937106918239,0.7609762678761869,0.6944570071512615,0.670487106017192,6M,OOF_Train,LightGBM,55
208,0.6826923076923077,0.680859538784067,0.6800023883324767,0.6843240145432674,0.8400085717104564,0.7268889541798763,0.44832823632031615,80,0.38461538461538464,0.910546875,0.8570052432330751,0.75,53,0.2548076923076923,0.8559951308581862,0.6293171842861426,0.6792452830188679,75,0.3605769230769231,0.753483709273183,0.6943444350204113,0.6133333333333333,6M,Temporal_Test,LightGBM,55
