Feature,Coefficient_per_1SD,AbsCoef,OR_per_1SD,Risk_Direction,Mean_Test,SD_Test,Nomogram_Points_per_1SD
FT4_last_over_TSH_last_plus1,0.24085845672247974,0.24085845672247974,1.2723409312567378,higher value -> higher Hyper risk,11.388294145152459,10.760034187204164,100.0
FT4_3M,0.16100799279427205,0.16100799279427205,1.1746943578666842,higher value -> higher Hyper risk,15.007593541274675,8.675850056005016,66.84755643842207
FT3_3M,0.15737207888923788,0.15737207888923788,1.1704310255680686,higher value -> higher Hyper risk,6.877421621837712,5.9558908229970156,65.3379918773473
ThyroidW,0.15714514720018335,0.15714514720018335,1.1701654478136585,higher value -> higher Hyper risk,40.230403216218484,30.532063509102763,65.24377401506315
FT3_last_over_FT4_last,0.0953641566713844,0.0953641566713844,1.1000593761562205,higher value -> higher Hyper risk,0.42424041304411114,0.14381378721257568,39.59344337295336
FT4_mean,0.08971236790185698,0.08971236790185698,1.0938596093176507,higher value -> higher Hyper risk,22.216188370644733,7.46390151364223,37.246924655514476
TSH_3M,-0.07000642893798786,0.07000642893798786,0.9323878256231682,higher value -> lower Hyper risk,15.219427085281845,27.933871622318325,29.06538134081386
FT4_1M,0.06712891432745935,0.06712891432745935,1.0694333345676656,higher value -> higher Hyper risk,20.860442724505674,10.74444281816988,27.87069021404806
PctDrop_FT3_0_3M,-0.05768763823954978,0.05768763823954978,0.9439447536363234,higher value -> lower Hyper risk,0.39700448636180685,0.9939346296066774,23.950846079703247
ThyroidW_x_FT3_last,0.05444787500643108,0.05444787500643108,1.055957433204759,higher value -> higher Hyper risk,321.8862883096997,552.7843688117562,22.605755989363757
TSH_last_minus_prev,-0.05390778450124034,0.05390778450124034,0.9475194784545025,higher value -> lower Hyper risk,13.536021061532354,27.339354066640325,22.381520348008205
FT3_1M,0.052179669868376986,0.052179669868376986,1.053565019397541,higher value -> higher Hyper risk,9.318494584491384,7.052251479757431,21.664038945702906
TRAb_x_FT3_last,0.04847531047758363,0.04847531047758363,1.0496694556628423,higher value -> higher Hyper risk,139.88282133620143,198.24200031614808,20.12605707817746
Height,0.0,0.0,1.0,higher value -> higher Hyper risk,1.6622216752588401,0.04993391747498376,0.0
Estimated_TID_Dose_x_Uptake24h_x_HalfLife,0.0,0.0,1.0,higher value -> higher Hyper risk,23.46036822587649,15.430003906008725,0.0
Dose_x_Uptake24h,0.0,0.0,1.0,higher value -> higher Hyper risk,4.572129807692307,3.1399489580423916,0.0
TSH_0M,0.0,0.0,1.0,higher value -> higher Hyper risk,0.283778846153846,2.946308700850331,0.0
HalfLife,0.0,0.0,1.0,higher value -> higher Hyper risk,5.248564781288654,0.7435693974092317,0.0
TPOAb,0.0,0.0,1.0,higher value -> higher Hyper risk,503.1205933302243,417.34970752020087,0.0
MaxUptake,0.0,0.0,1.0,higher value -> higher Hyper risk,0.723283437428874,0.1012019649765109,0.0
FT4_0M,0.0,0.0,1.0,higher value -> higher Hyper risk,30.780528846153842,13.815546155896492,0.0
Age,0.0,0.0,1.0,higher value -> higher Hyper risk,45.0625,31.604237445621603,0.0
