Model,Description,Feature_Count,N,Events,Prevalence,Threshold,TP,FP,TN,FN,ROC_AUC,PR_AUC,PR_AUC_Lift,Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Balanced_Accuracy,Brier,Calibration_Intercept,Calibration_Slope
LR sparse stable,"Elastic-net LR, 22 selected features, isotonic calibration",22,208,80,0.38461538461538464,0.33,60,18,110,20,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.8173076923076923,0.75,0.859375,0.7692307692307693,0.8461538461538461,0.759493670886076,0.8046875,0.14696136317623856,0.06456400782995768,0.8340529026080199
LR interaction Acc,"L2 LR with pairwise interactions, 18 input features -> 171 model features, Platt calibration",18,208,80,0.38461538461538464,0.37,64,21,107,16,0.8470703125,0.7431293380131421,1.9321362788341694,0.8221153846153846,0.8,0.8359375,0.7529411764705882,0.8699186991869918,0.7757575757575758,0.81796875,0.16188413239652366,0.2358302304511257,1.0854661914399586
LGBM top25,"LightGBM d3/leaf11/lr0.025, top25 selected features, Platt calibration, 30-seed benchmark",25,208,80,0.38461538461538464,0.36,65,22,106,15,0.8595703125,0.7611836493696202,1.9790774883610125,0.8221153846153846,0.8125,0.828125,0.7471264367816092,0.8760330578512396,0.7784431137724551,0.8203125,0.14949179072884491,0.29276180270971036,1.110742193109844
