Feature,FN,FP,TN,TP,FP_minus_TN,FN_minus_TP,Max_Error_Contrast
FT4_last_over_TSH_last_plus1,-0.3755692945465434,0.8625166459265007,-0.5366093576690807,0.9030152629933783,1.3991260035955815,-1.2785845575399217,1.3991260035955815
FT4_3M,-0.35824074324532895,0.7699817724113415,-0.5043630064285118,0.8221857476613674,1.2743447788398532,-1.1804264909066964,1.2743447788398532
FT3_3M,-0.31387121999338347,0.6561993098982413,-0.5054244081785318,0.9202339926103578,1.1616237180767732,-1.2341052126037413,1.2341052126037413
FT4_mean,-0.18910618795590178,0.8085515616366816,-0.3909864513690616,0.7396003937926248,1.1995380130057431,-0.9287065817485265,1.1995380130057431
ThyroidW_x_FT3_last,-0.2712722879860595,0.2557279857352342,-0.348301088700125,0.918358973165328,0.6040290744353591,-1.1896312611513875,1.1896312611513875
ThyroidW,-0.08957132203933534,0.7549809202530828,-0.20417450994563877,1.0875676933334304,0.9591554301987216,-1.1771390153727657,1.1771390153727657
PctDrop_FT3_0_3M,0.16239793696005447,-0.7483049219615199,0.3337555957687782,-0.9702971537099863,-1.082060517730298,1.1326950906700408,1.1326950906700408
TSH_3M,-0.0023781593779254985,-0.53276689794739,0.46709878689280326,-0.5183091062565607,-0.9998656848401932,0.5159309468786352,0.9998656848401932
TRAb_x_FT3_last,-0.14233744439843948,0.10038194646912306,-0.31887249392649275,0.7845385120122512,0.4192544403956158,-0.9268759564106908,0.9268759564106908
FT3_1M,-0.22100657286661476,0.2049861361038187,-0.27565548137082485,0.6992274107104229,0.4806416174746435,-0.9202339835770377,0.9202339835770377
TSH_last_minus_prev,0.013227590992687244,-0.5070796639166043,0.37525896582136575,-0.5084444243678957,-0.8823386297379701,0.5216720153605829,0.8823386297379701
FT4_1M,-0.2214525398728135,0.28532434493042913,-0.2585376154312725,0.5537809682035852,0.5438619603617016,-0.7752335080763988,0.7752335080763988
FT4_0M,0.10439839231732953,0.6161018473979083,-0.10916924211076295,0.25077185294693877,0.7252710895086713,-0.14637346062960924,0.7252710895086713
Age,0.24679140873638197,-0.4573141790048043,0.2413452138732196,-0.04831166847867404,-0.6986593928780239,0.295103077215056,0.6986593928780239
FT3_last_over_FT4_last,0.15187749219452706,0.169142638096759,-0.4823718355752203,0.7710211132544245,0.6515144736719793,-0.6191436210598974,0.6515144736719793
TPOAb,0.49263809912834383,-0.34528904699799123,0.0018583346030970923,-0.032128174131410864,-0.3471473816010883,0.5247662732597547,0.5247662732597547
MaxUptake,-0.05212400252901438,0.08550119710743007,-0.24642514392450193,-0.21731095623131222,0.33192634103193197,0.16518695370229786,0.33192634103193197
Height,0.18579675236057233,0.2412434784443843,0.16188909322216113,0.30818946384246115,0.07935438522222316,-0.12239271148188882,0.12239271148188882
Dose_x_Uptake24h,-0.08616089022823342,-0.03929237294669854,-0.09623817849073965,-0.009806664821875958,0.05694580554404111,-0.07635422540635746,0.07635422540635746
HalfLife,-0.05982042572270744,-0.0337679380568415,-0.08222764453796219,-0.11389932709570078,0.04845970648112069,0.054078901372993336,0.054078901372993336
Estimated_TID_Dose_x_Uptake24h_x_HalfLife,-0.0820224141334661,-0.04848374303657249,-0.08893738807034768,-0.02933789748428773,0.04045364503377519,-0.05268451664917837,0.05268451664917837
TSH_0M,-0.0346300138550383,-0.03874685631576846,-0.03694508772968794,-0.008105465742251057,-0.0018017685860805197,-0.02652454811278724,0.02652454811278724
