Error_Group,N,Events,Mean_Probability,Median_Probability
FN,20,20,0.1842122473480756,0.13157894736842105
FP,18,0,0.7069435075410893,0.7419354838709677
TN,110,0,0.12860272534613432,0.10611205432937182
TP,60,60,0.7583368262257543,0.7419354838709677
