N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Macro_AUC_OVR,Macro_PR_AUC_OVR,Brier_Multiclass,Hyper_Support,Hyper_Prevalence,Hyper_AUC,Hyper_PR_AUC,Hyper_Recall,Normal_Support,Normal_Prevalence,Normal_AUC,Normal_PR_AUC,Normal_Recall,Hypo_Support,Hypo_Prevalence,Hypo_AUC,Hypo_PR_AUC,Hypo_Recall,Landmark,Split,Model,Feature_Count
795,0.610062893081761,0.6196041633425756,0.6111947187462062,0.6109694914582441,0.7766458496648122,0.6155967392165905,0.5274176148771897,259,0.32578616352201256,0.8457255229643289,0.7416946930527778,0.6640926640926641,187,0.23522012578616353,0.7956656346749226,0.5118355986144383,0.6417112299465241,349,0.4389937106918239,0.6885463913551851,0.5932599259825553,0.5530085959885387,3M,OOF_Train,Multinomial LR C0.3,46
208,0.6153846153846154,0.6179035639412997,0.6119733736416954,0.6139771621066022,0.7963812643890043,0.6604149550598154,0.5033922429119302,80,0.38461538461538464,0.8490234375,0.7549223163964345,0.7,53,0.2548076923076923,0.8384662203286671,0.6616613208978865,0.660377358490566,75,0.3605769230769231,0.7016541353383459,0.5646612278851251,0.49333333333333335,3M,Temporal_Test,Multinomial LR C0.3,46
795,0.5962264150943396,0.6079340277890758,0.5979695640267163,0.5971566978809446,0.7724970884812571,0.6108510893635142,0.5356552374281256,259,0.32578616352201256,0.8411946061199792,0.7289170251299417,0.640926640926641,187,0.23522012578616353,0.7948300731775964,0.5146455980319061,0.6470588235294118,349,0.4389937106918239,0.6814665861461959,0.5889906449286948,0.5358166189111748,3M,OOF_Train,Multinomial LR C1,46
208,0.6105769230769231,0.6116142557651992,0.6064174763289808,0.6091586255813621,0.7892161948414351,0.6416773254800062,0.5148313543739786,80,0.38461538461538464,0.840625,0.7469254603668127,0.7,53,0.2548076923076923,0.8312842361533779,0.6389325080330881,0.6415094339622641,75,0.3605769230769231,0.6957393483709273,0.5391740080401177,0.49333333333333335,3M,Temporal_Test,Multinomial LR C1,46
795,0.6440251572327044,0.6449012135848474,0.6427068851825245,0.6446758270533938,0.795373734995375,0.6450250588820435,0.491370939876943,259,0.32578616352201256,0.8574237883939376,0.7611331006017197,0.6872586872586872,187,0.23522012578616353,0.8184104981705601,0.5499102817536504,0.6256684491978609,349,0.4389937106918239,0.7102869184216274,0.6240317942907602,0.6217765042979942,3M,OOF_Train,Random Forest,46
208,0.6586538461538461,0.6607599580712787,0.6566934088406481,0.6566136965912803,0.7932533685134994,0.6433084585908325,0.49193790719309965,80,0.38461538461538464,0.8416015625000001,0.7640138029102423,0.7375,53,0.2548076923076923,0.8318928788800973,0.6034379906239005,0.6981132075471698,75,0.3605769230769231,0.706265664160401,0.5624735822383546,0.5466666666666666,3M,Temporal_Test,Random Forest,46
795,0.6389937106918239,0.6462089408322343,0.6389463512182928,0.6397790957216404,0.7964329813243743,0.649028886404699,0.5101741355481022,259,0.32578616352201256,0.8536996484757678,0.7616673615256675,0.6795366795366795,187,0.23522012578616353,0.8220166056853364,0.5628530847181497,0.6631016042780749,349,0.4389937106918239,0.713582689812019,0.6225662129702798,0.5959885386819485,3M,OOF_Train,ExtraTrees,46
208,0.6682692307692307,0.6675262054507337,0.6641694725028059,0.6670280529655529,0.7933669963417876,0.6420022317121235,0.5062265951486838,80,0.38461538461538464,0.8328125,0.7575631003420695,0.75,53,0.2548076923076923,0.8325015216068168,0.6019705572301914,0.6792452830188679,75,0.3605769230769231,0.7147869674185464,0.5664730375641093,0.5733333333333334,3M,Temporal_Test,ExtraTrees,46
795,0.6314465408805031,0.6250891674791893,0.6271718071383287,0.6314049038896113,0.7912779754644972,0.6430561652344277,0.5149033770556972,259,0.32578616352201256,0.8508975393303753,0.7636686227804365,0.6833976833976834,187,0.23522012578616353,0.8192988319729805,0.5441350063721337,0.5614973262032086,349,0.4389937106918239,0.7036375550901358,0.6213648665507127,0.6303724928366762,3M,OOF_Train,LightGBM,46
208,0.6105769230769231,0.6002672955974843,0.6032993720271881,0.6111982911755505,0.7894259233981243,0.6468097818815024,0.5137533741586661,80,0.38461538461538464,0.8525390625,0.7677554927643659,0.7125,53,0.2548076923076923,0.8178940961655509,0.6367792881008123,0.5283018867924528,75,0.3605769230769231,0.697844611528822,0.535894564779329,0.56,3M,Temporal_Test,LightGBM,46
