N,Events,Prevalence,Threshold,TP,FP,TN,FN,ROC_AUC,PR_AUC,PR_AUC_Lift,Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Balanced_Accuracy,Brier,Net_Benefit,TreatAll_NetBenefit,TreatNone_NetBenefit
208,80,0.38461538461538464,0.05,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.35450404858299595,0.3522267206477733,0.0
208,80,0.38461538461538464,0.055,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.3523351648351648,0.3487993487993488,0.0
208,80,0.38461538461538464,0.06,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.3501432078559738,0.3453355155482815,0.0
208,80,0.38461538461538464,0.065,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.347927807486631,0.34183463595228303,0.0
208,80,0.38461538461538464,0.06999999999999999,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.34568858560794047,0.3382961124896609,0.0
208,80,0.38461538461538464,0.07499999999999998,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.34342515592515593,0.33471933471933474,0.0
208,80,0.38461538461538464,0.07999999999999999,78,81,47,2,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6009615384615384,0.975,0.3671875,0.49056603773584906,0.9591836734693877,0.6527196652719666,0.67109375,0.14696136317623856,0.3411371237458194,0.3311036789297659,0.0
208,80,0.38461538461538464,0.08499999999999999,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3327816309373686,0.32744850777637663,0.0
208,80,0.38461538461538464,0.08999999999999998,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3306741335587489,0.3237531699070161,0.0
208,80,0.38461538461538464,0.09499999999999997,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.32854334891627707,0.3200169995750107,0.0
208,80,0.38461538461538464,0.09999999999999998,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3263888888888889,0.3162393162393163,0.0
208,80,0.38461538461538464,0.10499999999999998,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3242103566824237,0.3124194241512678,0.0
208,80,0.38461538461538464,0.10999999999999997,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3220073465859983,0.30855661192739847,0.0
208,80,0.38461538461538464,0.11499999999999998,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3197794437201217,0.30465015210777924,0.0
208,80,0.38461538461538464,0.11999999999999997,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.31752622377622375,0.30069930069930073,0.0
208,80,0.38461538461538464,0.12499999999999996,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.31524725274725274,0.29670329670329676,0.0
208,80,0.38461538461538464,0.12999999999999995,76,73,55,4,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6298076923076923,0.95,0.4296875,0.5100671140939598,0.9322033898305084,0.6637554585152838,0.68984375,0.14696136317623856,0.3129420866489832,0.29266136162687895,0.0
208,80,0.38461538461538464,0.13499999999999995,69,57,71,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6730769230769231,0.8625,0.5546875,0.5476190476190477,0.8658536585365854,0.6699029126213593,0.70859375,0.14696136317623856,0.28896176078257,0.2885726989773233,0.0
208,80,0.38461538461538464,0.13999999999999996,69,57,71,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6730769230769231,0.8625,0.5546875,0.5476190476190477,0.8658536585365854,0.6699029126213593,0.70859375,0.14696136317623856,0.28711985688729874,0.2844364937388194,0.0
208,80,0.38461538461538464,0.14499999999999996,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.28770242914979755,0.28025191183085923,0.0
208,80,0.38461538461538464,0.14999999999999997,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.28591628959276016,0.27601809954751133,0.0
208,80,0.38461538461538464,0.15499999999999997,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.28410901228948565,0.27173418297678653,0.0
208,80,0.38461538461538464,0.15999999999999995,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.2822802197802198,0.26739926739926745,0.0
208,80,0.38461538461538464,0.16499999999999992,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.2804295255642561,0.26301243666513135,0.0
