Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
6-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,f1,F1,0.9642857142857144,0.6249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,auc,AUC,0.9116291131216504,0.6249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,acc,Accuracy,0.8515723270440252,0.6249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,recall,Sensitivity,0.7104247104247104,0.6249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,specificity,Specificity,0.9197761194029852,0.6249999999999998,795,259
6-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,f1,F1,0.757201646090535,0.6249999999999998,795,259
6-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,auc,AUC,0.90107421875,0.6249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,acc,Accuracy,0.7932692307692307,0.6249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,recall,Sensitivity,0.6375,0.6249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,specificity,Specificity,0.890625,0.6249999999999998,208,80
6-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,f1,F1,0.7034482758620689,0.6249999999999998,208,80
