AblatedFeature,PrettyLabel,Full_OOF_AUC,Full_OOF_PR,Full_OOF_Brier,Full_Tmp_AUC,Full_Tmp_PR,Full_Tmp_Brier,Abl_OOF_AUC,Abl_OOF_PR,Abl_OOF_Brier,Abl_Tmp_AUC,Abl_Tmp_PR,Abl_Tmp_Brier,Full_OOF_CalibIntercept,Full_OOF_CalibSlope,Full_Tmp_CalibIntercept,Full_Tmp_CalibSlope,Abl_OOF_CalibIntercept,Abl_OOF_CalibSlope,Abl_Tmp_CalibIntercept,Abl_Tmp_CalibSlope,Delta_OOF_AUC_mean,Delta_OOF_AUC_CI_Low,Delta_OOF_AUC_CI_High,Delta_Tmp_AUC_mean,Delta_Tmp_AUC_CI_Low,Delta_Tmp_AUC_CI_High
log1p_DiseaseDuration_Months_Aug,Log disease duration (months) — also '10 → core 9',0.7226295997851195,0.6089003631875984,0.20216643139435547,0.6845665095306415,0.6667247218675884,0.21081101943870728,0.7211724415793714,0.6052233185839504,0.20322753903706908,0.6887681902029105,0.6668440871454783,0.2107342766492316,0.328564561295685,1.6119559794860727,0.2009835368878731,1.2629707446760372,0.32648543163025034,1.5987602573985433,0.21525337679239243,1.3036373284483131,0.0017737918746376482,-0.010299894083799926,0.01331155402361966,-0.004206622148615087,-0.022216764842704458,0.014734200752624221
Sex,Sex,0.7226295997851195,0.6089003631875984,0.20216643139435547,0.6845665095306415,0.6667247218675884,0.21081101943870728,0.7231936610260543,0.6046536046056121,0.20401634597709634,0.6798524287763886,0.6646643977414285,0.21175009954986984,0.328564561295685,1.6119559794860727,0.2009835368878731,1.2629707446760372,0.3839462693538987,1.6991521009741535,0.20603590171638803,1.2955075916607761,-0.000624550182987944,-0.01011890050248045,0.008459036193534997,0.004798550541912569,-0.009811366834117043,0.018642865557638562
HalfLife,Effective iodine half-life,0.7226295997851195,0.6089003631875984,0.20216643139435547,0.6845665095306415,0.6667247218675884,0.21081101943870728,0.7232809562181035,0.608736669733486,0.20182040456774647,0.6851813896290223,0.6671269446337345,0.21076444163373992,0.328564561295685,1.6119559794860727,0.2009835368878731,1.2629707446760372,0.31404294070238603,1.5875961815463764,0.19137430634597521,1.2497502987998865,-0.0005462916974967613,-0.002871651490787705,0.0017636027492729269,-0.0006347205247361123,-0.003263883474117407,0.001980894308943201
TGAb,Thyroglobulin antibody,0.7226295997851195,0.6089003631875984,0.20216643139435547,0.6845665095306415,0.6667247218675884,0.21081101943870728,0.7226228847703465,0.608609097860566,0.20232684197621698,0.6792375486780078,0.6632245868773053,0.21185558533066295,0.328564561295685,1.6119559794860727,0.2009835368878731,1.2629707446760372,0.33355737274314623,1.6208556380293038,0.19193787244404348,1.2326328814598178,-8.546773546905695e-06,-0.0038174416683743216,0.0036522327763183885,0.0054480685770754945,0.0003979326269148738,0.011420896741018675
