ClassWeight,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,OOF_Brier,OOF_CalibIntercept,OOF_CalibSlope,Temporal_AUC_mean,Temporal_AUC_CI_Low,Temporal_AUC_CI_High,Temporal_Brier,Temporal_CalibIntercept,Temporal_CalibSlope
default(None),0.7225092311512021,0.6862339527197352,0.7592273732811322,0.20216643139435547,0.328564561295685,1.6119559794860727,0.6852680179402901,0.6044007814524722,0.7626851130696181,0.21081101943870728,0.2009835368878731,1.2629707446760372
balanced,0.7236294549735001,0.6878697726197315,0.7599282324581026,0.20125688656011032,0.31062882800720315,1.582567512420252,0.6849949762470755,0.6043228652473837,0.7604386800752521,0.21084444225460147,0.18812893151721174,1.2409041894595174
