FeaturePool,Split,Metric,Value,CI_Lower,CI_Upper
M1_v2c,Development_OOF,ROC_AUC,0.724791834542036,0.6878617973380317,0.7612577364066921
M1_v2c,Development_OOF,PR_AUC,0.6218850752765057,0.5644009658923209,0.6822270500660091
M1_v2c,Development_OOF,Brier,0.19803989772277125,0.18556151295289072,0.21090635253428008
M1_v2c,Temporal_Test,ROC_AUC,0.6897929903668785,0.6092677142235755,0.7669902623262839
M1_v2c,Temporal_Test,PR_AUC,0.6673083043727112,0.5659454547385806,0.764388374897849
M1_v2c,Temporal_Test,Brier,0.20797245903074899,0.1824000749628876,0.23315720883882757
M1_v2a,Development_OOF,ROC_AUC,0.7246373892022563,0.6882071509669307,0.7604690833683977
M1_v2a,Development_OOF,PR_AUC,0.6240972233675606,0.5663132102699824,0.6848368125455316
M1_v2a,Development_OOF,Brier,0.19697562256940399,0.18419138298594911,0.20960696499408332
M1_v2a,Temporal_Test,ROC_AUC,0.6855913096946096,0.6061235356367906,0.7634763338283025
M1_v2a,Temporal_Test,PR_AUC,0.6668373356587554,0.565256024782034,0.7636744763418939
M1_v2a,Temporal_Test,Brier,0.20845901170301487,0.18286996564078728,0.23391022551881754
