Feature,PrettyLabel,FullAUC,LOO_AUC,DeltaAUC,CI_Low,CI_High
ThyroidW,Thyroid weight,0.724791834542036,0.5691512221326887,0.15564061240934735,0.11148596571400884,0.19745704236975234
TPOAb,Thyroid peroxidase antibody,0.724791834542036,0.7192250872951921,0.005566747246843917,-0.0043721291164186245,0.015073739247162442
Uptake24h,24-hour thyroid RAI uptake,0.724791834542036,0.7234958366908408,0.001295997851195163,-0.003386778420590461,0.007171844268767865
HalfLife,Effective iodine half-life,0.724791834542036,0.724986569970454,-0.0001947354284179692,-0.003274439332471793,0.0028255726989146633
TRAb,TSH receptor antibody,0.724791834542036,0.7251410153102337,-0.00034918076819767663,-0.0051016396838360345,0.00421896397404134
TGAb,Thyroglobulin antibody,0.724791834542036,0.7257185065807145,-0.0009266720386784666,-0.005020980031735634,0.0026509155735283865
FT4_0M,FT4 at baseline,0.724791834542036,0.7261146924523234,-0.0013228579102874116,-0.004614261330883445,0.0020387911151832747
TSH_0M,TSH at baseline,0.724791834542036,0.7266653236637121,-0.001873489121676064,-0.006281746344108202,0.0007388799183197512
Sex,Sex,0.724791834542036,0.7288208434058554,-0.0040290088638194055,-0.015321495489664116,0.007746246445276469
