Label,Tmp_Delta_mean,Tmp_Delta_CI_Low,Tmp_Delta_CI_High,OOF_Delta_mean,OOF_Delta_CI_Low,OOF_Delta_CI_High
V1_ThyroidW,0.0,0.0,0.0,0.0,0.0,0.0
V2_ThyroidW_per_Weight,-0.0028909659461793832,-0.015749977393606077,0.010278508658790346,0.002042759166265049,-0.010363510398480802,0.01406709841472508
V3_ThyroidW_per_BSA,-0.0004501393524669056,-0.010008278586057276,0.009375173028300461,0.004605345015947488,-0.0028805694448754138,0.01166653207759253
V4_ThyroidW_per_Height,-0.0005866930494050245,-0.006784604969735705,0.005793258849761074,0.0021360161064220167,-0.001087886191281967,0.005277641917953492
V5_ThyroidW_per_BMI,-0.004272474521743492,-0.016245956151204798,0.006880998614752816,0.00013208117752392724,-0.00996008860384478,0.009912153898984418
V6_log1p_ThyroidW,0.0,0.0,0.0,-0.00022762937423336115,-0.0016905895916038915,0.0012201917722179433
V7_log1p_ThyroidW_per_BSA,-0.0004501393524669056,-0.010008278586057276,0.009375173028300461,0.004770587963459221,-0.00245728742688959,0.011797379922398895
