Label,K,Features,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,OOF_Brier,Tmp_Brier
Only ThyroidW (k=1),1,ThyroidW,0.7247899435588309,0.6858325390515809,0.7610279266532498,0.6824524633138499,0.6032251164991991,0.7606281507752095,0.19659193803282432,0.21123634138968064
"ThyroidW + LogDur (k=2, clinical pair)",2,ThyroidW;log1p_DiseaseDuration_Months_Aug,0.7222098715452507,0.6863973507798498,0.7567558639863733,0.6841911223644422,0.6049842777822095,0.7608004014326762,0.1963056453946322,0.21098393277972088
"ThyroidW + TPOAb + LogDur (k=3, clinical triplet)",3,ThyroidW;TPOAb;log1p_DiseaseDuration_Months_Aug,0.7318926521570028,0.6961655585586207,0.7653752196459178,0.6775745101242162,0.5975403885131289,0.7556696902407686,0.1952558780062033,0.21330372646924484
