Method,OOF_Delta_OnlyMinusNo_mean,OOF_Delta_OnlyMinusNo_CI_Low,OOF_Delta_OnlyMinusNo_CI_High,Tmp_Delta_OnlyMinusNo_mean,Tmp_Delta_OnlyMinusNo_CI_Low,Tmp_Delta_OnlyMinusNo_CI_High,OOF_Delta_FullMinusOnly_mean,OOF_Delta_FullMinusOnly_CI_Low,OOF_Delta_FullMinusOnly_CI_High,Tmp_Delta_FullMinusOnly_mean,Tmp_Delta_FullMinusOnly_CI_Low,Tmp_Delta_FullMinusOnly_CI_High
RandomForest,0.04095616982649782,-0.0036195027516491363,0.0839140146955286,-0.005944478691651735,-0.07466878480597988,0.06710937547188733,0.03728403803827072,0.01176142364641065,0.06096418901829059,0.02053870666850886,-0.019715367984133734,0.057861859532971995
GradientBoosting,0.1103110032479939,0.06255434766103671,0.15940950091400305,0.02397537829979459,-0.05756897531984494,0.11036997080418212,-0.009782172720758642,-0.04019333780506662,0.018836074778999082,0.018357342918939965,-0.030451029445594708,0.06821355300778127
KNN,0.04505165253571896,-0.005199896247924085,0.09262186173356511,0.040895989521469917,-0.05264797496562559,0.13958920565242686,0.03312503793109774,-0.0068341641225429265,0.07478016212739244,0.07785226448379272,0.0035861103665981754,0.15417071740558447
SVM_RBF,0.05824405139583687,0.006688504641071991,0.10742744414383862,0.09175115905471531,0.007845798372342533,0.1717529245722268,0.039601871617961124,0.00959547295766711,0.07094513043377927,-0.008026517038299551,-0.05337282361264919,0.03866549088771312
MLP,0.08324372672686284,0.028936627508786707,0.13432741701866105,0.14770515440691456,0.04576334911700771,0.25110210820576667,-0.007244117689865098,-0.04285282506175826,0.026849031252577225,-0.0011417780674225918,-0.052593143340655846,0.05041212548587613
