Split,Variable,Spearman_rho,Spearman_p,Linear_slope,Linear_R
Dev OOF (N=802),Dose (mCi),0.6854257322733492,2.436776974297059e-112,30.936764529821847,0.7054276340016222
Dev OOF (N=802),Dose per gram (mCi/g),-0.23234549498624882,2.7190561992460378e-11,-0.226331856736701,-0.10293723468269016
Temporal (N=201),Dose (mCi),0.795561579812803,3.4990521282291214e-45,31.824487611787163,0.8701202097815892
Temporal (N=201),Dose per gram (mCi/g),-0.2819427983808038,5.016259845726571e-05,-0.11010907281811771,-0.2810087899006951
