Label,K,Features,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,OOF_Brier,Tmp_Brier
Full 10 features (reference),10,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.7225092311512021,0.6862339527197352,0.7592273732811322,0.6852680179402901,0.6044007814524722,0.7626851130696181,0.20216643139435547,0.21081101943870728
Only ThyroidW (k=1),1,ThyroidW,0.7247899435588309,0.6858325390515809,0.7610279266532498,0.6824524633138499,0.6032251164991991,0.7606281507752095,0.19659193803282432,0.21123634138968064
Without ThyroidW — all 9 (k=9),9,Sex;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.6295296275696108,0.5908398183089909,0.6681416089494329,0.6059555822854535,0.5283191697682847,0.6889969891299109,0.22497100550441754,0.23626826026646608
Top-2 without ThyroidW (LogDur+TPOAb),2,log1p_DiseaseDuration_Months_Aug;TPOAb,0.5990635178073366,0.5599864935344996,0.6392320772828418,0.570767166400722,0.4941495041835788,0.6554891516961378,0.22560838743183204,0.24162278868252632
Top-3 without ThyroidW (+Sex),3,log1p_DiseaseDuration_Months_Aug;TPOAb;Sex,0.5954909748255792,0.5556511866978149,0.6352818705780715,0.5675161626907161,0.4907891108231287,0.6481653746770025,0.22604178909389397,0.2420332529885374
Top-5 without ThyroidW (+TRAb+FT4),5,log1p_DiseaseDuration_Months_Aug;TPOAb;Sex;TRAb;FT4_0M,0.6345966591534888,0.5953418071297779,0.6734819768173577,0.6050321347206506,0.5266328423715997,0.6886390789616597,0.22012343225328454,0.23438445821493145
