Feature,x_grid,pdp_mean
ThyroidW,9.6,0.17910860598582526
ThyroidW,11.41006779661017,0.19010842357398292
ThyroidW,13.22013559322034,0.2016120105205186
ThyroidW,15.030203389830508,0.21362190820045807
ThyroidW,16.840271186440678,0.22613812648037304
ThyroidW,18.650338983050847,0.23915793194531432
ThyroidW,20.460406779661017,0.25267565411571763
ThyroidW,22.270474576271187,0.26668251541239346
ThyroidW,24.080542372881357,0.2811664906869956
ThyroidW,25.890610169491524,0.29611220200487137
ThyroidW,27.700677966101694,0.31150085402647676
ThyroidW,29.510745762711863,0.32731021477012157
ThyroidW,31.320813559322033,0.3435146457500857
ThyroidW,33.1308813559322,0.360085184479125
ThyroidW,34.94094915254237,0.37698968112430287
ThyroidW,36.75101694915254,0.3941929897438838
ThyroidW,38.56108474576271,0.41165721305624586
ThyroidW,40.37115254237288,0.42934199815505336
ThyroidW,42.18122033898305,0.4472048790512544
ThyroidW,43.99128813559322,0.46520166045876765
ThyroidW,45.80135593220339,0.4832868359139606
ThyroidW,47.61142372881356,0.501414032192027
ThyroidW,49.42149152542373,0.519536471110702
ThyroidW,51.2315593220339,0.5376074392361323
ThyroidW,53.04162711864407,0.5555807557551165
ThyroidW,54.85169491525424,0.5734112288637363
ThyroidW,56.66176271186441,0.5910550914387636
ThyroidW,58.47183050847458,0.6084704074825182
ThyroidW,60.28189830508475,0.6256174418265047
ThyroidW,62.09196610169492,0.6424589867942149
ThyroidW,63.90203389830509,0.6589606409001181
ThyroidW,65.71210169491526,0.6750910361362041
ThyroidW,67.52216949152543,0.690822011904551
ThyroidW,69.3322372881356,0.7061287351320139
ThyroidW,71.14230508474577,0.7209897674949921
ThyroidW,72.95237288135594,0.7353870819406996
ThyroidW,74.7624406779661,0.7493060317792041
ThyroidW,76.57250847457627,0.7627352765119088
ThyroidW,78.38257627118644,0.7756666692428734
ThyroidW,80.1926440677966,0.788095110986205
ThyroidW,82.00271186440678,0.8000183774422374
ThyroidW,83.81277966101695,0.81143692388223
ThyroidW,85.62284745762712,0.8223536736770046
ThyroidW,87.43291525423729,0.832773795754975
ThyroidW,89.24298305084746,0.8427044759074588
ThyroidW,91.05305084745763,0.8521546864028453
ThyroidW,92.8631186440678,0.8611349578543078
ThyroidW,94.67318644067797,0.8696571567342614
ThyroidW,96.48325423728814,0.8777342713661328
ThyroidW,98.2933220338983,0.8853802086699014
ThyroidW,100.10338983050848,0.8926096034085745
ThyroidW,101.91345762711865,0.8994376411905365
ThyroidW,103.72352542372882,0.9058798960364676
ThyroidW,105.53359322033899,0.9119521829246962
ThyroidW,107.34366101694916,0.9176704253881678
ThyroidW,109.15372881355933,0.923050537949876
ThyroidW,110.9637966101695,0.9281083229499782
ThyroidW,112.77386440677967,0.9328593811337736
ThyroidW,114.58393220338984,0.9373190352310665
ThyroidW,116.394,0.9415022656594624
TPOAb,10.0,0.4010550739745583
TPOAb,26.779661016949152,0.3997728698437973
TPOAb,43.559322033898304,0.3984923736726856
TPOAb,60.33898305084746,0.39721359943539125
TPOAb,77.11864406779661,0.39593656101124935
TPOAb,93.89830508474576,0.39466127218446123
TPOAb,110.67796610169492,0.3933877466437962
TPOAb,127.45762711864407,0.39211599798230823
TPOAb,144.23728813559322,0.39084603969705844
TPOAb,161.01694915254237,0.3895778851888492
TPOAb,177.79661016949152,0.3883115477619642
TPOAb,194.57627118644066,0.3870470406239196
TPOAb,211.35593220338984,0.3857843768852252
TPOAb,228.135593220339,0.3845235695591519
TPOAb,244.91525423728814,0.3832646315615092
TPOAb,261.6949152542373,0.3820075757104325
TPOAb,278.47457627118644,0.3807524147261783
TPOAb,295.2542372881356,0.3794991612309272
TPOAb,312.03389830508473,0.3782478277485973
TPOAb,328.8135593220339,0.3769984267046658
TPOAb,345.59322033898303,0.3757509704259988
TPOAb,362.3728813559322,0.37450547114068855
TPOAb,379.1525423728813,0.3732619409779022
TPOAb,395.9322033898305,0.37202039196773506
TPOAb,412.7118644067797,0.3707808360410763
TPOAb,429.49152542372883,0.36954328502947975
TPOAb,446.271186440678,0.3683077506650433
TPOAb,463.0508474576271,0.36707424458029947
TPOAb,479.8305084745763,0.3658427783081095
TPOAb,496.6101694915254,0.36461336328157
TPOAb,513.3898305084746,0.36338601083392286
TPOAb,530.1694915254237,0.36216073219847905
TPOAb,546.9491525423729,0.3609375385085436
TPOAb,563.728813559322,0.3597164407973546
TPOAb,580.5084745762712,0.35849744999802446
TPOAb,597.2881355932203,0.3572805769434936
TPOAb,614.0677966101695,0.35606583236648803
TPOAb,630.8474576271186,0.3548532268994876
TPOAb,647.6271186440678,0.35364277107469816
TPOAb,664.4067796610169,0.35243447532403493
TPOAb,681.1864406779661,0.351228349979111
TPOAb,697.9661016949152,0.35002440527123324
TPOAb,714.7457627118644,0.3488226513314055
TPOAb,731.5254237288135,0.34762309819033943
TPOAb,748.3050847457627,0.34642575577847295
TPOAb,765.0847457627118,0.3452306339259936
TPOAb,781.864406779661,0.34403774236287094
TPOAb,798.6440677966101,0.3428470907188947
TPOAb,815.4237288135594,0.34165868852372056
TPOAb,832.2033898305085,0.34047254520692116
TPOAb,848.9830508474577,0.339288670098046
TPOAb,865.7627118644068,0.33810707242668564
TPOAb,882.542372881356,0.33692776132254443
TPOAb,899.3220338983051,0.33575074581551795
TPOAb,916.1016949152543,0.3345760348357777
TPOAb,932.8813559322034,0.3334036372138631
TPOAb,949.6610169491526,0.33223356168077717
TPOAb,966.4406779661017,0.3310658168680907
TPOAb,983.2203389830509,0.3299004113080517
TPOAb,1000.0,0.32873735343370086
Sex,0.0,0.3563120007536705
Sex,0.01694915254237288,0.35499358720527396
Sex,0.03389830508474576,0.35367760986713814
Sex,0.05084745762711865,0.35236408303913014
Sex,0.06779661016949153,0.3510530208840551
Sex,0.0847457627118644,0.34974443742742134
Sex,0.1016949152542373,0.34843834655721556
Sex,0.11864406779661017,0.3471347620236945
Sex,0.13559322033898305,0.34583369743918846
Sex,0.15254237288135594,0.3445351662779168
Sex,0.1694915254237288,0.34323918187581837
Sex,0.1864406779661017,0.34194575743039385
Sex,0.2033898305084746,0.3406549060005624
Sex,0.22033898305084745,0.3393666405065274
Sex,0.23728813559322035,0.3380809737296606
Sex,0.2542372881355932,0.3367979183123941
Sex,0.2711864406779661,0.33551748675812815
Sex,0.288135593220339,0.3342396914311488
Sex,0.3050847457627119,0.3329645445565604
Sex,0.3220338983050847,0.3316920582202295
Sex,0.3389830508474576,0.33042224436874074
Sex,0.3559322033898305,0.3291551148093658
Sex,0.3728813559322034,0.32789068121004283
Sex,0.3898305084745763,0.32662895509937123
Sex,0.4067796610169492,0.32536994786661394
Sex,0.423728813559322,0.32411367076171643
Sex,0.4406779661016949,0.32286013489533266
Sex,0.4576271186440678,0.32160935123886725
Sex,0.4745762711864407,0.32036133062452565
Sex,0.4915254237288136,0.31911608374537864
Sex,0.5084745762711864,0.3178736211554362
Sex,0.5254237288135594,0.3166339532697338
Sex,0.5423728813559322,0.3153970903644302
Sex,0.559322033898305,0.31416304257691446
Sex,0.576271186440678,0.3129318199059276
Sex,0.5932203389830508,0.3117034322116918
Sex,0.6101694915254238,0.3104778892160514
Sex,0.6271186440677966,0.3092552005026269
Sex,0.6440677966101694,0.3080353755169754
Sex,0.6610169491525424,0.30681842356676603
Sex,0.6779661016949152,0.30560435382196316
Sex,0.6949152542372882,0.3043931753150201
Sex,0.711864406779661,0.3031848969410846
Sex,0.7288135593220338,0.3019795274582131
Sex,0.7457627118644068,0.30077707548759547
Sex,0.7627118644067796,0.2995775495137899
Sex,0.7796610169491526,0.2983809578849678
Sex,0.7966101694915254,0.2971873088131676
Sex,0.8135593220338984,0.2959966103745587
Sex,0.8305084745762712,0.2948088705097166
Sex,0.847457627118644,0.2936240970239036
Sex,0.864406779661017,0.29244229758736273
Sex,0.8813559322033898,0.2912634797356186
Sex,0.8983050847457628,0.29008765086978905
Sex,0.9152542372881356,0.28891481825690285
Sex,0.9322033898305084,0.2877449890302309
Sex,0.9491525423728814,0.2865781701896212
Sex,0.9661016949152542,0.2854143686018466
Sex,0.9830508474576272,0.2842535910009587
Sex,1.0,0.28309584398865123
TRAb,1.5604,0.3764583832926541
TRAb,2.2119186440677967,0.37713108401331447
TRAb,2.863437288135593,0.37780438796278465
TRAb,3.5149559322033896,0.37847829318188303
TRAb,4.166474576271186,0.37915279770201044
TRAb,4.817993220338983,0.37982789954516194
TRAb,5.46951186440678,0.38050359672393425
TRAb,6.1210305084745755,0.38117988724154045
TRAb,6.772549152542373,0.38185676909181815
TRAb,7.424067796610169,0.3825342402592405
TRAb,8.075586440677966,0.38321229871892937
TRAb,8.727105084745762,0.38389094243666544
TRAb,9.378623728813558,0.38457016936890176
TRAb,10.030142372881356,0.38524997746277384
TRAb,10.681661016949151,0.3859303646561141
TRAb,11.333179661016949,0.38661132887746236
TRAb,11.984698305084745,0.38729286804608243
TRAb,12.63621694915254,0.3879749800719708
TRAb,13.287735593220338,0.3886576628558735
TRAb,13.939254237288134,0.3893409142892981
TRAb,14.590772881355932,0.3900247322545279
TRAb,15.242291525423727,0.3907091146246373
TRAb,15.893810169491525,0.3913940592635049
TRAb,16.545328813559323,0.39207956402582866
TRAb,17.19684745762712,0.3927656267571413
TRAb,17.848366101694914,0.393452245293825
TRAb,18.499884745762714,0.394139417463127
TRAb,19.15140338983051,0.39482714108317657
TRAb,19.802922033898305,0.39551541396299855
TRAb,20.4544406779661,0.3962042339025322
TRAb,21.1059593220339,0.396893598692646
TRAb,21.757477966101696,0.3975835061151557
TRAb,22.408996610169492,0.39827395394284015
TRAb,23.060515254237288,0.39896493993946025
TRAb,23.712033898305084,0.3996564618597747
TRAb,24.363552542372883,0.4003485174495591
TRAb,25.01507118644068,0.40104110444562335
TRAb,25.666589830508475,0.40173422057583125
TRAb,26.31810847457627,0.40242786355911764
TRAb,26.96962711864407,0.4031220311055077
TRAb,27.621145762711866,0.40381672091613724
TRAb,28.27266440677966,0.40451193068327085
TRAb,28.924183050847457,0.4052076580903216
TRAb,29.575701694915253,0.405903900811872
TRAb,30.227220338983052,0.4066006565136932
TRAb,30.878738983050848,0.40729792285276595
TRAb,31.530257627118644,0.4079956974773017
TRAb,32.181776271186436,0.4086939780267628
TRAb,32.833294915254235,0.4093927621318841
TRAb,33.484813559322035,0.4100920474146948
TRAb,34.13633220338983,0.4107918314885405
TRAb,34.78785084745763,0.41149211195810326
TRAb,35.439369491525426,0.4121928864194274
TRAb,36.09088813559322,0.41289415245993843
TRAb,36.74240677966102,0.41359590765846876
TRAb,37.39392542372882,0.4142981495852795
TRAb,38.04544406779661,0.41500087580208367
TRAb,38.69696271186441,0.41570408386207064
TRAb,39.3484813559322,0.4164077713099289
TRAb,40.0,0.4171119356818722
