K,Features,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High
9,Sex;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.6295296275696108,0.5908398183089909,0.6681416089494329,0.6059555822854535,0.5283191697682847,0.6889969891299109
8,Sex;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.6351745338482988,0.5974491276470169,0.6735927020043094,0.6026821246855791,0.5241603646007252,0.6857291453166633
7,Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.6378309503431283,0.6001028025476731,0.6765026999817404,0.6026543812213541,0.5235493816799768,0.6859333367493339
6,Uptake24h;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.6393421612229552,0.6001538450422362,0.6775102637520198,0.602057125769805,0.5234498300453212,0.6856203589395675
5,Uptake24h;TRAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.6396588900309437,0.6008426522816163,0.6788603436563189,0.6059843983877932,0.5270643869757415,0.6906864050032654
4,Uptake24h;TRAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.6386121093685925,0.5995983028296595,0.6776925389055024,0.6119320308200195,0.532827672702234,0.6947534065047678
3,TRAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.6371756256382644,0.5975606895913277,0.6757945732996945,0.6110292909900114,0.5313756248316701,0.6935910229033084
2,TRAb;log1p_DiseaseDuration_Months_Aug,0.6296156148370199,0.5920502959901615,0.6683844346415541,0.6018512823405763,0.5213704180907335,0.6857310607604915
1,log1p_DiseaseDuration_Months_Aug,0.6002863762918018,0.5613514649651781,0.6390917474761165,0.5714704841923267,0.49536498223998227,0.6561006243474079
