Split,Subgroup,N,Events,ROC_AUC_mean,CI_Low,CI_High
Dev_OOF,Overall,802,292,0.7225092311512021,0.6862339527197352,0.7592273732811322
Dev_OOF,Male (Sex=0),622,229,0.728521758226319,0.6785823483390643,0.7695112152139867
Dev_OOF,Female (Sex=1),180,63,0.7033689538356896,0.6166111728450013,0.7807075691121743
Temporal,Overall,201,82,0.6852680179402901,0.6044007814524722,0.7626851130696181
Temporal,Male (Sex=0),135,54,0.6655472648881564,0.5687555628677908,0.7608664745116989
Temporal,Female (Sex=1),66,28,0.7108772750058603,0.5657717209690893,0.843901912481458
