Label,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,OOF_Brier,Tmp_Brier
V1_ThyroidW,0.7247899435588309,0.6858325390515809,0.7610279266532498,0.6824524633138499,0.6032251164991991,0.7606281507752095,0.19659193803282432,0.21123634138968064
V2_ThyroidW_per_Weight,0.7268327027250957,0.6884773568870273,0.7623444739217609,0.6795614973676707,0.5993116301334398,0.7577702530484075,0.1947885819063238,0.2117189930596229
V3_ThyroidW_per_BSA,0.7293952885747783,0.6906565947706773,0.7657328678948374,0.6820023239613832,0.6016522164866159,0.7597162697491477,0.19442390381955216,0.2116896058375956
V4_ThyroidW_per_Height,0.7269259596652528,0.6882206663076621,0.7625526215195436,0.681865770264445,0.6021266690425141,0.7590136391556846,0.19523828007950075,0.21141650787477043
V5_ThyroidW_per_BMI,0.7249220247363546,0.6888782143842858,0.7614758834025251,0.6781799887921065,0.5990348976840668,0.7573796910515371,0.19665926685320792,0.2114744875373226
V6_log1p_ThyroidW,0.7245623141845974,0.6863492325887602,0.7610679172112423,0.6824524633138499,0.6032251164991991,0.7606281507752095,0.1956711723176729,0.2138593543285908
V7_log1p_ThyroidW_per_BSA,0.72956053152229,0.6915382938448189,0.7657203560835604,0.6820023239613832,0.6016522164866159,0.7597162697491477,0.19365554154904976,0.21445557409409796
