max_interaction_bins,landmark,term,importance,corr_AB,same_group,occupancy_pct,support_energy,frac_var_residual,svd_r1_frac,sign_consistency,verdict
24,12M,Hormone_load & Velocity_balance,0.3073,0.01,False,61.8,0.527,0.716,0.928,0.92,对冲伪
24,12M,T3T4_balance & Velocity_load,0.2132,0.009,False,61.0,0.562,0.524,0.862,0.417,对冲伪
24,12M,T3T4_balance & Velocity_balance,0.1186,0.337,False,58.5,0.4,0.383,0.919,0.56,对冲伪
32,1M,TPOAb & Velocity_load,0.0948,-0.056,False,47.6,0.517,0.735,0.963,0.433,对冲伪
32,1M,ThyroidW & TSH_velocity,0.069,0.002,False,23.0,0.214,0.604,0.966,0.767,外推不可信
32,1M,HalfLife & T3T4_balance,0.0565,-0.024,False,57.8,0.543,0.886,0.855,0.6,对冲伪
32,1M,TGAb & FT4_0M,0.0505,-0.06,False,45.9,0.466,0.587,0.957,0.484,对冲伪
32,1M,TGAb & Velocity_load,0.0359,0.055,False,45.2,0.479,0.77,0.862,0.676,对冲伪
32,3M,Uptake24h & Hormone_load,0.1041,-0.021,False,59.8,0.557,0.624,0.965,0.5,对冲伪
32,3M,ThyroidW & HalfLife,0.0969,-0.036,False,57.6,0.616,0.623,0.964,,真2D
32,3M,TRAb & HalfLife,0.0932,-0.182,False,57.9,0.559,0.517,0.914,0.778,对冲伪
32,3M,FT4_0M & T3T4_balance,0.0928,-0.051,False,60.7,0.615,0.786,0.875,,真2D
32,3M,FT4_0M & Hormone_load,0.0826,0.144,False,58.6,0.549,0.72,0.976,,对冲伪
32,6M,TSH_current & Velocity_load,0.223,-0.078,False,42.3,0.412,0.384,0.679,0.769,对冲伪
32,6M,TGAb & FT4_0M,0.1966,-0.06,False,45.9,0.464,0.87,0.953,0.452,对冲伪
32,6M,TPOAb & T3T4_balance,0.1738,0.031,False,46.8,0.512,0.811,0.8,0.613,对冲伪
32,6M,Hormone_load & T3T4_balance,0.1214,-0.0,False,47.8,0.375,0.402,0.951,0.357,对冲伪
32,6M,Uptake24h & Hormone_load,0.1206,-0.025,False,60.4,0.571,0.514,0.897,1.0,对冲伪
32,12M,Hormone_load & Velocity_load,0.4179,0.319,False,38.4,0.351,0.566,0.916,0.933,外推不可信
32,12M,ThyroidW & T3T4_balance,0.3034,0.059,False,57.3,0.566,0.67,0.695,,对冲伪
32,12M,Hormone_load & Velocity_balance,0.2695,0.01,False,41.4,0.363,0.79,0.891,0.931,对冲伪
32,12M,T3T4_balance & Velocity_balance,0.1574,0.337,False,39.9,0.288,0.381,0.957,0.562,外推不可信
32,12M,T3T4_balance & Velocity_load,0.1502,0.009,False,41.8,0.353,0.532,0.855,0.484,对冲伪
