Cluster,Domain,N_episodes,Events,EventRate,Mean_baseline_risk_0M
1,Development,166,48,0.2891566265060241,0.33970947891984327
2,Development,292,90,0.3082191780821918,0.30167967266353773
3,Development,344,154,0.4476744186046512,0.4288307714374374
1,Temporal,39,16,0.41025641025641024,0.39310709098453034
2,Temporal,76,30,0.39473684210526316,0.35867133030034437
3,Temporal,86,36,0.4186046511627907,0.47320678098032937
