Tier,N,Events,EventRate,Logrank_Chi2,P_cluster_vs_overall
Cluster_1,39,14,0.358974358974359,0.3053564959436772,0.5805437028200091
Cluster_2,76,30,0.39473684210526316,0.005304436236788686,0.9419401558181334
Cluster_3,86,36,0.4186046511627907,0.2634437522672379,0.6077640609476822
