Variant,Feature
D_MomentumPlusEarlyRisk,D_FT4_current_baseline
D_MomentumPlusEarlyRisk,D_FT4_current_prev
D_MomentumPlusEarlyRisk,FT4_current_over_baseline
D_MomentumPlusEarlyRisk,TSH_mean_0t
D_MomentumPlusEarlyRisk,TSH_std_0t
D_MomentumPlusEarlyRisk,TSH_slope_0t
D_MomentumPlusEarlyRisk,D_TSH_current_baseline
D_MomentumPlusEarlyRisk,D_TSH_current_prev
D_MomentumPlusEarlyRisk,TSH_current_over_baseline
D_MomentumPlusEarlyRisk,FT3_Current_over_FT4_Current
D_MomentumPlusEarlyRisk,FT4_Current_over_TSH_Current_plus1
D_MomentumPlusEarlyRisk,ThyroidW_x_FT3_Current
D_MomentumPlusEarlyRisk,ThyroidW_x_FT4_Current
D_MomentumPlusEarlyRisk,FT3_Current_x_Window_3M_to_6M
D_MomentumPlusEarlyRisk,FT4_Current_x_Window_3M_to_6M
D_MomentumPlusEarlyRisk,FT3_Current_x_Window_6M_to_12M
D_MomentumPlusEarlyRisk,FT4_Current_x_Window_6M_to_12M
D_MomentumPlusEarlyRisk,FT3_Current_x_Window_12M_to_18M
D_MomentumPlusEarlyRisk,FT4_Current_x_Window_12M_to_18M
D_MomentumPlusEarlyRisk,FT3_Current_x_Window_18M_to_24M
D_MomentumPlusEarlyRisk,FT4_Current_x_Window_18M_to_24M
D_MomentumPlusEarlyRisk,History_Hyper_Count
D_MomentumPlusEarlyRisk,History_Normal_Count
D_MomentumPlusEarlyRisk,History_Hypo_Count
D_MomentumPlusEarlyRisk,History_Hyper_Frac
D_MomentumPlusEarlyRisk,History_Control_Frac
D_MomentumPlusEarlyRisk,Eval_1M_Code
D_MomentumPlusEarlyRisk,Eval_1M_Hyper
D_MomentumPlusEarlyRisk,Eval_1M_Normal
D_MomentumPlusEarlyRisk,Eval_1M_Hypo
D_MomentumPlusEarlyRisk,Eval_1M_Missing
D_MomentumPlusEarlyRisk,Eval_3M_Code
D_MomentumPlusEarlyRisk,Eval_3M_Hyper
D_MomentumPlusEarlyRisk,Eval_3M_Normal
D_MomentumPlusEarlyRisk,Eval_3M_Hypo
D_MomentumPlusEarlyRisk,Eval_3M_Missing
D_MomentumPlusEarlyRisk,Eval_6M_Code
D_MomentumPlusEarlyRisk,Eval_6M_Hyper
D_MomentumPlusEarlyRisk,Eval_6M_Normal
D_MomentumPlusEarlyRisk,Eval_6M_Hypo
D_MomentumPlusEarlyRisk,Eval_6M_Missing
D_MomentumPlusEarlyRisk,Eval_12M_Code
D_MomentumPlusEarlyRisk,Eval_12M_Hyper
D_MomentumPlusEarlyRisk,Eval_12M_Normal
D_MomentumPlusEarlyRisk,Eval_12M_Hypo
D_MomentumPlusEarlyRisk,Eval_12M_Missing
