TrajCluster,BaselineCluster,N,chi2,p_value
0,1,139,58.85874175992937,5.038248618299752e-12
1,1,40,58.85874175992937,5.038248618299752e-12
2,1,26,58.85874175992937,5.038248618299752e-12
0,2,250,58.85874175992937,5.038248618299752e-12
1,2,99,58.85874175992937,5.038248618299752e-12
2,2,19,58.85874175992937,5.038248618299752e-12
0,3,215,58.85874175992937,5.038248618299752e-12
1,3,119,58.85874175992937,5.038248618299752e-12
2,3,96,58.85874175992937,5.038248618299752e-12
