Landmark,Model,Test_AUC,Test_PR_AUC,Test_Accuracy,Recall,Specificity,PPV,NPV
0M,Persistence_CurrentHyper,0.5,0.4079601990049751,0.4079601990049751,1.0,0.0,0.4079601990049751,0.0
1M,Persistence_CurrentHyper,0.5950502152080345,0.4623886763702479,0.572139303482587,0.7195121951219512,0.4705882352941176,0.4836065573770491,0.7088607594936709
3M,Persistence_CurrentHyper,0.7643472022955523,0.6555636451886907,0.7860696517412935,0.6463414634146342,0.8823529411764706,0.7910447761194029,0.7835820895522388
6M,Persistence_CurrentHyper,0.8570403771264603,0.799174857420216,0.8756218905472637,0.7560975609756098,0.957983193277311,0.9253731343283582,0.8507462686567164
