split,Landmark,FN_rate,FP_rate,Sens,Spec,PPV,NPV,Acc,FN,FP,TP,TN
Dev(OOF),1M,0.411,0.2,0.589,0.8,0.6277,0.7727,0.7232,120,102,172,408
Dev(OOF),3M,0.2055,0.2431,0.7945,0.7569,0.6517,0.8655,0.7706,60,124,232,386
Dev(OOF),6M,0.2021,0.1314,0.7979,0.8686,0.7767,0.8825,0.8429,59,67,233,443
Dev(OOF),12M,0.1233,0.1353,0.8767,0.8647,0.7877,0.9245,0.8691,36,69,256,441
Temporal,1M,0.4634,0.2689,0.5366,0.7311,0.5789,0.696,0.6517,38,32,44,87
Temporal,3M,0.2317,0.3277,0.7683,0.6723,0.6176,0.8081,0.7114,19,39,63,80
Temporal,6M,0.2195,0.1429,0.7805,0.8571,0.7901,0.85,0.8259,18,17,64,102
Temporal,12M,0.1951,0.1513,0.8049,0.8487,0.7857,0.8632,0.8308,16,18,66,101
