Contrast,Delta_mean,CI_Low,CI_High,CI_excludes_zero
Architecture effect at ABC (supermodel − 4-LR),-0.021370363557734782,-0.03769220545812331,-0.007215429461644765,True
Architecture effect at ABCDE (supermodel − 4-LR),-0.015650815529232302,-0.025392933723196873,-0.0053490873567575625,True
Feature effect on supermodel (ABCDE − ABC),0.034709491984417896,0.006533355808317685,0.06290468165482531,True
Feature effect on 4-LR (ABCDE − ABC),0.028989943955915413,0.009767110961370062,0.04792392001442955,True
