Seed,Landmark,Bootstrap_Mean_ROC,CI_Low,CI_High
2025,Pooled,0.7536716609846683,0.6958194944657502,0.8127651000987713
2025,0M,0.685461523332254,0.6009881484213551,0.7608864145589815
2025,1M,0.7229851220035485,0.6521714698535852,0.7946048546048546
2025,3M,0.7986861409001033,0.7391592401202879,0.8573484717540979
2025,6M,0.787628871685069,0.7255161906328235,0.8510396424128818
2026,Pooled,0.7542103433419939,0.6913357011761309,0.8121891358781167
2026,0M,0.6845918929902721,0.6092976617170165,0.7589760921189335
2026,1M,0.7230529050236467,0.6551648565833846,0.7898770746182362
2026,3M,0.7999477848175064,0.7312189881805607,0.8635130133481158
2026,6M,0.7886837467700614,0.7187449531481604,0.8511153265672634
2027,Pooled,0.7555338134073285,0.6942437725556174,0.8123181132111733
2027,0M,0.687864391960416,0.6103339232552715,0.7596435197028507
2027,1M,0.7261078820600264,0.6511536846684319,0.7944877751840146
2027,3M,0.799929488613061,0.7319275935192028,0.8590188631654873
2027,6M,0.7887897997233497,0.7204131071710071,0.8498781633940188
2028,Pooled,0.7547693270766288,0.6941281558547051,0.8123342133580032
2028,0M,0.6870833616488606,0.6072441109026475,0.7631035219996206
2028,1M,0.7242093002288889,0.6495792099493926,0.7949316192326162
2028,3M,0.7995021557100993,0.7306567580922301,0.8604660827480997
2028,6M,0.7883996052659656,0.7186873395044372,0.8493070407305058
2029,Pooled,0.7527247798397302,0.689613453524177,0.8092897652077403
2029,0M,0.6849017341199642,0.6016376536478317,0.7596541624492111
2029,1M,0.7229690795796475,0.6485466087644118,0.7913503910125506
2029,3M,0.797671745852718,0.7316205700975936,0.8577701054768971
2029,6M,0.7862374508664159,0.7196138500672333,0.8485337402641027
