Block,Description,Shapley_value,Std,N_orderings,Pct_of_total
A,Baseline burden,0.1131345221015235,0.04977339168540311,120,47.41106577911386
B,RAI exposure,-0.010783566475370628,0.01879064134493277,120,-4.519048385942305
C,Current dynamic,0.034129368210698924,0.039234401792573606,120,14.302528451793004
D,Momentum,0.03554967718794837,0.05299876681210169,120,14.897734593085685
E,Time × dynamic,0.06659471715515472,0.048285869067107134,120,27.907719561949744
