Landmark,N,Events,ROC_AUC,PR_AUC,Brier,ROC_AUC_CI_Low,ROC_AUC_CI_High,CalibIntercept,CalibSlope
0M,201,82,0.6855913096946096,0.6668661567783067,0.2082348498086838,0.6063233716687643,0.7634763338283025,0.03211308645174778,0.94653876058852
1M,201,82,0.7238163558106169,0.6854073817445697,0.20046825383970773,0.6502048183498857,0.7964822120347821,0.10728393520190826,1.0110494188617711
3M,201,82,0.7996515679442509,0.7516492550789564,0.175311389211628,0.7364323953002655,0.8616947212993725,0.08137108890787241,0.9877889383503495
6M,201,82,0.7884812461569993,0.7513282465171887,0.17793433943219022,0.7247928037686809,0.8534878863826233,0.08961745269723972,0.9803222039009427
Pooled,804,328,0.7543682106989137,0.7165572830997138,0.19048720807305244,0.6944045365413862,0.8156774356922353,0.08864463890906982,1.0064496628055417
