landmark,global_rank,term,type,importance,is_target
12M,11,TPOAb × FT4_0M,2D,0.1599,False
12M,12,TGAb × FT4_0M,2D,0.1524,False
12M,13,TPOAb × TSH_current,2D,0.1393,False
12M,14,HalfLife × Hormone_load,2D,0.1276,False
12M,15,TPOAb,univariate,0.1195,False
12M,16,T3T4_balance × Velocity_load,2D,0.1187,False
12M,17,TRAb,univariate,0.1139,False
12M,18,log1p_DiseaseDuration_Months_Aug,univariate,0.0995,False
12M,19,ThyroidW × Hormone_load,2D,0.0958,False
12M,20,Hormone_load × Velocity_load,2D,0.0906,False
12M,21,ThyroidW × T3T4_balance,2D,0.0865,False
12M,22,TSH_velocity × Velocity_balance,2D,0.0854,False
12M,23,FT4_0M × TSH_0M,2D,0.0776,False
12M,24,ThyroidW × TSH_velocity,2D,0.0754,False
12M,25,HalfLife × TSH_current,2D,0.0719,False
12M,26,T3T4_balance × Velocity_balance,2D,0.0655,False
12M,27,TSH_velocity × Velocity_load,2D,0.0585,False
12M,28,TSH_current × Velocity_balance,2D,0.055,False
12M,29,TSH_velocity × Hormone_load,2D,0.0532,False
12M,30,Velocity_balance,univariate,0.0522,False
12M,31,FT4_0M,univariate,0.0426,False
12M,32,TGAb,univariate,0.0334,False
12M,33,TSH_0M,univariate,0.026,False
12M,34,Uptake24h,univariate,0.0204,False
12M,35,HalfLife,univariate,0.0201,False
12M,36,Sex,univariate,0.0183,False
