Method,Category,Wall_seconds,Dev_Pooled_ROC,Dev_Pooled_PR,Dev_Pooled_Brier,Tmp_Pooled_ROC,Tmp_Pooled_PR,Tmp_Pooled_Brier,Tmp_Pooled_ROC_CI_Low,Tmp_Pooled_ROC_CI_High,Tmp_CalibIntercept,Tmp_CalibSlope,Delta_vs_L2_mean,Delta_vs_L2_CI_Low,Delta_vs_L2_CI_High,Delta_significant
Random Forest,static tree ensemble,2.95975399017334,0.7709034213000268,0.6679768565483768,0.18065271833819777,0.7434989239598278,0.6785624494760066,0.1977416658777276,0.6805124117274405,0.8005280571769392,0.022167724754566,0.8773731225366345,0.004834461152240039,-0.02040655914336025,0.029134672733373376,False
L2-logistic,linear,0.31134986877441406,0.7696829673650282,0.6749338482638287,0.1826404255131935,0.7386247181799549,0.7041969997737783,0.19580254827287966,0.6759797768113271,0.8030105363486177,0.03641654551076563,0.9170629829681072,0.0,0.0,0.0,False
Elastic-net,linear regularized,0.6995208263397217,0.7697031124093473,0.6748037574891894,0.18264498197763157,0.7385222381635581,0.7041317295087736,0.1958442716514692,0.6753735145507035,0.8027812049652053,0.034966240024399506,0.9158519178042691,-0.00010695796206584408,-0.0005892920253718819,0.00039685799749626655,False
HistGradientBoosting,gradient boosting,6.299199819564819,0.7205466861402094,0.6031677156831575,0.19800224939506494,0.7063883480221357,0.6376254054907227,0.20946112410917192,0.6370667507376846,0.7737643442707417,0.07474381180108922,1.0338203400485253,-0.031248726629492806,-0.07814344541327167,0.018958860885149142,False
GEE logistic,clustered linear,19.3369140625,0.5416922676604888,0.4050104366795612,0.22906912850282998,0.5,0.4079601990049751,0.24278375066935132,0.5,0.5,-0.37242919166325755,-5.1609494028756475e-05,-0.23896107665827615,-0.30301053634861774,-0.17597977681132715,True
