Split,Metric,Point,CI_Low,CI_High,Bootstrap_Unit,Bootstrap_N
Train,AUC,0.8512577833125778,0.8245305909525759,0.8746507717723716,Patient_ID,1000
Train,PR_AUC,0.31787306077624045,0.2513708503770347,0.3961626544606145,Patient_ID,1000
Train,Accuracy,0.8145879732739421,0.7998836410076483,0.8293154359162866,Patient_ID,1000
Train,Recall,0.6643835616438356,0.5961436170212766,0.7342190112252209,Patient_ID,1000
Train,Specificity,0.8278787878787879,0.814812579628512,0.8416893649076254,Patient_ID,1000
Train,PPV,0.2545931758530184,0.2127003835914465,0.29782211117407653,Patient_ID,1000
Train,NPV,0.9653710247349824,0.9561336866139939,0.9739642810260439,Patient_ID,1000
Train,F1,0.3681214421252372,0.31771714388403016,0.41798249421296296,Patient_ID,1000
Train,Brier,0.2210073953469629,0.21220038012061931,0.22987660997475842,Patient_ID,1000
Validation,AUC,0.8648563804740229,0.7907996755193503,0.9250044389204545,Patient_ID,1000
Validation,PR_AUC,0.36532177496341156,0.21237260251835913,0.5837608669391867,Patient_ID,1000
Validation,Accuracy,0.8166666666666667,0.7773781363272607,0.8534439138547169,Patient_ID,1000
Validation,Recall,0.7391304347826086,0.5294117647058824,0.9285714285714286,Patient_ID,1000
Validation,Specificity,0.8231046931407943,0.7900661248978902,0.855082370923913,Patient_ID,1000
Validation,PPV,0.25757575757575757,0.15625,0.36507936507936506,Patient_ID,1000
Validation,NPV,0.9743589743589743,0.9491492190096378,0.9953927571912548,Patient_ID,1000
Validation,F1,0.38202247191011235,0.24992977528089888,0.5060317218240048,Patient_ID,1000
Validation,Brier,0.21841573494925845,0.1971834541863222,0.24044977634563677,Patient_ID,1000
TemporalTest,AUC,0.8415923271283452,0.7874001709833859,0.8902413588692917,Patient_ID,1000
TemporalTest,PR_AUC,0.319670629756535,0.2117373062805665,0.47278312060291067,Patient_ID,1000
TemporalTest,Accuracy,0.8171206225680934,0.7863422800909479,0.8452854815488369,Patient_ID,1000
TemporalTest,Recall,0.6097560975609756,0.46511627906976744,0.75,Patient_ID,1000
TemporalTest,Specificity,0.8350951374207188,0.8084049107650335,0.8620076314343831,Patient_ID,1000
TemporalTest,PPV,0.24271844660194175,0.15789473684210525,0.32954545454545453,Patient_ID,1000
TemporalTest,NPV,0.9610705596107056,0.9399379750667055,0.9783653846153846,Patient_ID,1000
TemporalTest,F1,0.3472222222222222,0.24424902001237878,0.4409602208814807,Patient_ID,1000
TemporalTest,Brier,0.21894521702949435,0.20291685171953244,0.23604502180404302,Patient_ID,1000
