Risk_Quartile,N,Events,Observed_Event_Rate,Mean_Cumulative_Risk,Mean_Max_Interval_Risk,Wilson_CI_Low,Wilson_CI_High,Risk_Min,Risk_Max
Q1,40,2,0.05,0.5346484100961647,0.42859197999999993,0.013820377146101093,0.165041708179252,0.20166622,0.73178345
Q2,40,15,0.375,0.8276834873395156,0.7866988859999999,0.24222773535791722,0.529678399454681,0.7368579191533913,0.8815317
Q3,39,5,0.1282051282051282,0.9229352231738022,0.8087352882051281,0.05602734948028318,0.2670604903763048,0.8840282996182715,0.956032654336951
Q4,40,14,0.35,0.9757048356152838,0.8392240885,0.2213433317104915,0.5049440300646263,0.9562536872375572,0.9943457189476704
