N,Events,Prevalence,Threshold,TP,FP,TN,FN,AUC,PR_AUC,PR_AUC_Lift,Accuracy,Recall,Specificity,PPV,NPV,F1,Balanced_Accuracy,Brier,Calibration_Intercept,Calibration_Slope,Split
529,134,0.2533081285444234,0.785,120,216,179,14,0.7414887587379558,0.480886352624614,1.8984244816300062,0.5652173913043478,0.8955223880597015,0.4531645569620253,0.35714285714285715,0.927461139896373,0.5106382978723404,0.6743434725108635,0.40025152276290454,-3.5158701459058053,1.7982029926286736,Train
97,20,0.20618556701030927,0.785,20,41,36,0,0.8162337662337662,0.5538682369587122,2.6862609492497547,0.5773195876288659,1.0,0.4675324675324675,0.32786885245901637,1.0,0.49382716049382713,0.7337662337662337,0.4104053752429603,-9.559812374253879,5.33135275193973,Validation
159,36,0.22641509433962265,0.785,30,63,60,6,0.7233514001806685,0.4118977257282472,1.8192149552997583,0.5660377358490566,0.8333333333333334,0.4878048780487805,0.3225806451612903,0.9090909090909091,0.46511627906976744,0.660569105691057,0.4027682199849432,-3.2433387076356053,1.5418868148804667,TemporalTest
