Split,N,Events,Prevalence,Threshold,TP,FP,TN,FN,AUC,PR_AUC,PR_AUC_Lift,Accuracy,Recall,Specificity,PPV,NPV,F1,Balanced_Accuracy,Brier,Calibration_Intercept,Calibration_Slope
Train,1796,146,0.08129175946547884,0.785,97,284,1366,49,0.8512577833125778,0.31787306077624045,3.910274090096766,0.8145879732739421,0.6643835616438356,0.8278787878787879,0.2545931758530184,0.9653710247349824,0.3681214421252372,0.7461311747613117,0.2210073953469629,-3.01644786829113,1.2143284470962599
Validation,300,23,0.07666666666666666,0.785,17,49,228,6,0.8648563804740229,0.36532177496341156,4.765066629957542,0.8166666666666667,0.7391304347826086,0.8231046931407943,0.25757575757575757,0.9743589743589743,0.38202247191011235,0.7811175639617014,0.21841573494925845,-3.049374852583944,1.1682999258192057
TemporalTest,514,41,0.07976653696498054,0.785,25,78,395,16,0.8415923271283452,0.319670629756535,4.0075781388989995,0.8171206225680934,0.6097560975609756,0.8350951374207188,0.24271844660194175,0.9610705596107056,0.3472222222222222,0.7224256174908472,0.21894521702949435,-2.878099101983624,1.084133470245994
