Interval_Name,N,Events,Observed_Event_Rate,Mean_Predicted_Risk
1M->3M,65,17,0.26153846153846155,0.8200898316923078
3M->6M,70,10,0.14285714285714285,0.697470615
6M->12M,106,8,0.07547169811320754,0.506430956981132
12M->18M,125,2,0.016,0.23123993676800003
18M->24M,134,4,0.029850746268656716,0.16092594056716417
