Split,Branch,MeanAbsSHAP_Logit,Share
Development,global,2.547280268094488,0.7915599746736488
Development,local,0.3167370857770219,0.09842513316503451
Development,static,0.314510699961908,0.09773329021335819
Development,z3M,0.03952281987921886,0.012281601947958559
TemporalTest,global,2.5321490785149696,0.7854761958726046
TemporalTest,local,0.30973452620773395,0.09608008447857116
TemporalTest,static,0.3338796701937491,0.1035699420102036
TemporalTest,z3M,0.047948776219538115,0.014873777638620559
