epoch,lr,train_loss,rank_loss,net_benefit_loss,ap_loss,libauc_ap_loss,z3m_aux_loss,gate_loss,fit_prauc,val_prauc,val_auc,threshold,mixup_samples,selected_score,scheduler_metric
1,0.0005,1.474648070335388,0.804913854598999,0.0750381012757619,0.0,0.0,0.0,0.0,0.2067639645273076,0.2638186857266877,0.8524564432585151,0.6899999999999997,0,0.32584787508488,0.32584787508488
2,0.0005,1.3377328236897787,0.807582684357961,0.0688288643956184,0.0,0.0,0.0,0.0,0.2122848058242031,0.2435132670651578,0.8466488777272014,0.7399999999999997,0,0.3071987088124188,0.3071987088124188
3,0.0005,1.2775275588035584,0.8170870423316956,0.0606032679478327,0.0,0.0,0.0,0.0,0.2409954445030343,0.3001176603738516,0.8526134044890912,0.7449999999999997,0,0.3724162937247619,0.3724162937247619
4,0.0005,1.2556456645329794,0.8189883430798849,0.0545227761069933,0.0,0.0,0.0,0.0,0.2467229824309831,0.2931171291784132,0.8480615288023858,0.7599999999999997,0,0.3671340239077082,0.3671340239077082
5,0.0005,1.3723987023035684,0.8622808893521626,0.0079624623060226,0.0,0.0,0.0,0.0,0.2502875511205873,0.2915509797983699,0.8490032961858421,0.7599999999999997,0,0.3666372451345461,0.3666372451345461
6,0.0005,1.2300855239232382,0.8279025832811991,0.050145648419857,0.0,0.0,0.0,0.0,0.2656972496128041,0.2951155653354592,0.8488463349552661,0.7699999999999997,0,0.3748247402193004,0.3748247402193004
7,0.0005,1.1675766468048097,0.7898175835609436,0.0417540376385053,0.0,0.0,0.0,0.0,0.2788717901305017,0.3034264915462967,0.8529273269502433,0.7599999999999997,0,0.3870880285854472,0.3870880285854472
8,0.0005,1.2944098711013794,0.9170159657796224,0.0009933307766914,0.0,0.0,0.0,0.0,0.290624699412332,0.3106750455744465,0.8501020247998744,0.7749999999999997,0,0.3978624553981461,0.3978624553981461
9,0.0005,1.191654527187347,0.8061799724896749,0.0294250552852948,0.0,0.0,0.0,0.0,0.2993257576339664,0.3189152567137273,0.8507298697221787,0.7899999999999997,0,0.4087129840039172,0.4087129840039172
10,0.0005,1.1754752039909362,0.8092519561449687,0.0102585027615229,0.0,0.0,0.0,0.0,0.2928011359320265,0.309193469160302,0.8522994820279391,0.7899999999999997,0,0.3970338099399099,0.3970338099399099
11,0.0005,1.0653104484081268,0.7579159180323283,0.0289834454655647,0.0,0.0,0.0,0.0,0.3178730607762404,0.3653217749634115,0.8648563804740229,0.7849999999999997,0,0.4606836931962836,0.4606836931962836
12,0.0005,1.101630679766337,0.8316868821779887,0.0235204304258028,0.0,0.0,0.0,0.0,0.3288850012274457,0.3377804139613137,0.8614032334013499,0.7899999999999997,0,0.4364459143295474,0.4364459143295474
13,0.0005,1.0955788215001423,0.8030148426691691,0.0233370477954546,0.0,0.0,0.0,0.0,0.3447729714987832,0.3180427739051081,0.8510437921833307,0.7899999999999997,0,0.4214746653547431,0.4214746653547431
14,0.0005,1.1383931358655297,0.761148456732432,-0.0115345408519109,0.0,0.0,0.0,0.0,0.3540551236735003,0.3119064689038192,0.8464919164966254,0.7999999999999997,0,0.4181230060058693,0.4181230060058693
15,0.0005,1.052980468670527,0.7357107758522033,0.0230918059746424,0.0,0.0,0.0,0.0,0.3566424918019895,0.3290880747858708,0.8505729084916025,0.7399999999999997,0,0.4360808223264676,0.4360808223264676
16,0.0005,1.062984671195348,0.7667256832122803,0.019947312772274,0.0,0.0,0.0,0.0,0.350718874443369,0.3390721736900667,0.8570083189452206,0.7899999999999997,0,0.4442878360230775,0.4442878360230775
17,0.00025,1.1028012792269388,0.753857692082723,-0.0123045975963274,0.0,0.0,0.0,0.0,0.3659682298943813,0.3223697756103251,0.852299482027939,0.7899999999999997,0,0.4321602445786395,0.4321602445786395
18,0.00025,1.0373240987459815,0.7383161584536234,0.0153374701738357,0.0,0.0,0.0,0.0,0.366731444685093,0.3164187480203136,0.8499450635692984,0.7999999999999997,0,0.4264381814258415,0.4264381814258415
19,0.00025,0.9947400391101836,0.7408275842666626,0.0109963431954383,0.0,0.0,0.0,0.0,0.3624186528861166,0.3102694863581359,0.8494741798775702,0.7899999999999997,0,0.4189950822239708,0.4189950822239708
20,0.00025,1.0194848597049713,0.7632583916187287,0.0132008473078409,0.0,0.0,0.0,0.0,0.3719680574955625,0.3134559220959985,0.8482184900329618,0.7999999999999997,0,0.4250463393446673,0.4250463393446673
21,0.00025,1.0697970747947694,0.7993249773979187,-0.0006551697850227,0.0,0.0,0.0,0.0,0.3782963121552312,0.3274208176923194,0.8541830167948518,0.7949999999999997,0,0.4409097113388888,0.4409097113388888
22,0.00025,0.9949082732200624,0.6954405029614766,0.0097394277652104,0.0,0.0,0.0,0.0,0.3827629932559106,0.3093627540769666,0.8468058389577774,0.7899999999999997,0,0.4241916520537397,0.4241916520537397
23,0.000125,1.039982163906097,0.7366895715395609,-0.0033277784784634,0.0,0.0,0.0,0.0,0.3826039902444961,0.3016400973034271,0.8425678857322241,0.7999999999999997,0,0.4164212943767759,0.4164212943767759
