Top_Fraction,Top_K_Percent,Alerted_N,Captured_Events,Total_Events,Recall_at_K,PPV_at_K,Lift_at_K,Prevalence,N,Recall_at_K_CI_Low,Recall_at_K_CI_High,PPV_at_K_CI_Low,PPV_at_K_CI_High,Lift_at_K_CI_Low,Lift_at_K_CI_High,Bootstrap_Unit,Bootstrap_N
0.05,5.0,8.0,8.0,36.0,0.2222222222222222,1.0,4.416666666666667,0.22641509433962265,159.0,0.14285714285714285,0.2858630952380951,0.625,1.0,2.8392857142857144,5.68152901785714,Patient_ID,1000
0.1,10.0,16.0,12.0,36.0,0.3333333333333333,0.75,3.3125,0.22641509433962265,159.0,0.23684210526315788,0.46166666666666656,0.5,1.0,2.3536184210526314,4.587812499999999,Patient_ID,1000
0.2,20.0,32.0,20.0,36.0,0.5555555555555556,0.625,2.7604166666666665,0.22641509433962265,159.0,0.4347238542890717,0.7201034482758619,0.4375,0.8125,2.160034150998825,3.5780140086206895,Patient_ID,1000
0.3,30.0,48.0,24.0,36.0,0.6666666666666666,0.5,2.2083333333333335,0.22641509433962265,159.0,0.5454545454545454,0.8276108374384236,0.3541666666666667,0.6666666666666666,1.8068181818181819,2.7414608990147786,Patient_ID,1000
0.4,40.0,64.0,29.0,36.0,0.8055555555555556,0.453125,2.0013020833333335,0.22641509433962265,159.0,0.6923076923076923,0.9643165024630542,0.328125,0.5785156249999996,1.7199519230769231,2.3957238108066505,Patient_ID,1000
0.5,50.0,80.0,34.0,36.0,0.9444444444444444,0.425,1.8770833333333332,0.22641509433962265,159.0,0.8399677419354838,1.0,0.2875,0.5375,1.6694358870967745,1.9875,Patient_ID,1000
