group,0M,1M,3M,6M
Goiter (ThyroidW),0.1669,0.1378,0.0688,0.0751
Antibodies,0.0074,0.0027,0.0041,0.0056
Baseline labs/chronicity,0.0088,0.0157,0.0065,0.0072
RAI exposure,-0.0008,-0.0014,-0.0002,0.0002
Current level (C),0.0021,0.0191,0.0943,0.1136
Momentum (D),0.0,0.0166,0.0129,0.0179
