Landmark,Delta_ROC_vs_L2super,CI_Low,CI_High,excludes_0
Pooled,-0.008373005079530258,-0.02567415492296234,0.008712210575400819,False
0M,-0.0024265377178006664,-0.017846610059631802,0.012243446013726296,False
1M,-0.004494827726058707,-0.018856380562369813,0.009583165776398327,False
3M,-0.008138144906587427,-0.03541482192050373,0.01723480974535378,False
6M,-0.010071125293758365,-0.04366609808489015,0.023436326467409157,False
