Variant,Dev_Pooled_ROC,Tmp_ROC_0M,Tmp_ROC_1M,Tmp_ROC_3M,Tmp_ROC_6M,Tmp_ROC_Pooled,Tmp_Pooled_Brier,Tmp_Pooled_CalibSlope
V1 vanilla GRU,0.7668731533709374,0.6757532281205165,0.7160278745644599,0.7618364418938307,0.7593769215003076,0.7300099918015988,0.20544837054734796,0.8142274960155322
V2 GRU-D,0.7561421400752082,0.6919450707112113,0.7161303545808567,0.7627587620414018,0.7643984423037508,0.7337761324041812,0.2088279274952161,0.6729366155687041
V3 AWD-GRU,0.7576123086220791,0.6891781102684977,0.715515474482476,0.7617339618774338,0.7654232424677189,0.7338081574093052,0.20845589315106544,0.6688470679198806
V2 GRU-D (no aug),0.7556276020682245,0.6910227505636402,0.717052674728428,0.7637835622053699,0.7651158024185284,0.7340323324451732,0.2083840887318929,0.6813556386739724
