epoch,train_ROC,val_ROC
0,0.6263017546074223,0.6226632602193419
1,0.6301005112345367,0.6278664007976071
2,0.6309154227678195,0.6313455466932536
3,0.6347651319111336,0.6391450648055832
4,0.649421376651519,0.6570808408109007
5,0.658689803711184,0.6703119807244933
6,0.6696958759362114,0.6849763210368894
7,0.6790458270217958,0.69571493851778
8,0.6865549130059749,0.704895729478232
9,0.688936860956829,0.7089356929212363
10,0.6907024478246233,0.7111893486208043
11,0.6917333322814104,0.7129860418743769
12,0.695530116553059,0.7179918577600533
13,0.699001462172852,0.7230703722166832
14,0.7065805667760666,0.7324692588899966
15,0.7168933560548683,0.7460327351279494
16,0.7223561232432887,0.7538841807909604
17,0.7282442617604983,0.7618187105350614
18,0.7303842674408819,0.7650382186773015
19,0.7333451017209459,0.7662429378531074
20,0.7394561164057898,0.7720484380192755
21,0.7432782125725826,0.7767842306414091
22,0.7457390547420685,0.7800868228647392
23,0.7475496770596651,0.7824027916251246
24,0.7505529169822435,0.7861519607843137
25,0.7532294033493226,0.7887898803589233
26,0.756808571067912,0.7912304752409439
27,0.7578348533619457,0.7908150548354935
28,0.7587217558697299,0.7913343303423064
29,0.7594462677774974,0.7913966434031239
30,0.7611990343347639,0.7931206380857427
31,0.7638531673398974,0.7966205550016616
32,0.7649458522679458,0.7972852276503821
33,0.7668274793823108,0.7989261382519108
34,0.7680608590002524,0.8010343968095713
35,0.7692797746781115,0.8030699567962778
36,0.7700581976352773,0.8023325855766036
37,0.770970083312295,0.8018133100697907
38,0.7716880207018431,0.8024779827185111
39,0.7723684833375409,0.8032465104685942
40,0.7733549897963476,0.8065283316716516
41,0.7739167823781873,0.8095920571618478
42,0.7739983064041067,0.8119287969425059
43,0.7747635803248338,0.8128427218344965
44,0.7755893398131785,0.813870887337986
45,0.7763191113355213,0.8133723828514456
46,0.7764012928132626,0.8132996842804919
47,0.7768200896238323,0.8128011797939516
48,0.7770462530505764,0.8137878032568959
49,0.776823376882942,0.8140785975407112
50,0.7769305415299167,0.8142343801927551
51,0.7784052059665068,0.8152729312063809
52,0.7791106517714381,0.8167788301761383
53,0.7799074833796179,0.8176304420073114
54,0.780502477278465,0.8164672648720505
55,0.78073915993436,0.8158752907942839
56,0.7815346766388959,0.8170280824194085
57,0.7816464434486241,0.8179316218012629
58,0.7816411838340487,0.8183158856763044
59,0.781978456618699,0.8185235958790296
60,0.7823078399814861,0.8185132103688934
61,0.7830810033240766,0.8190221003655699
62,0.7836796132079442,0.8198425556663343
63,0.7842223396869478,0.8206941674975075
64,0.784484662963898,0.8220235127949486
65,0.7841099154253975,0.8211719009637752
66,0.7848373858663636,0.8226466434031239
67,0.7858212625178826,0.8246510468594218
68,0.7861960100563831,0.8256999833831836
69,0.7864944931835394,0.8266294865403789
70,0.7868567491374232,0.8261673313393154
71,0.7870013885382479,0.8254715021601862
72,0.786904743120424,0.8244225656364241
73,0.7868462299082724,0.8248483715520106
74,0.787719983379618,0.8251599368560983
75,0.7881420674492973,0.8254091890993686
76,0.7877232706387276,0.8240902293120638
77,0.7880289857359252,0.8234047856430707
78,0.7879546936800471,0.8228180043203721
79,0.7891381069595221,0.8222623795280823
80,0.789819227047042,0.8232697740112995
81,0.7903931824875874,0.8243290960451977
82,0.7901920022300767,0.8243914091060153
83,0.7902761560632837,0.8239032901296113
84,0.7903050839434487,0.8222104519774011
85,0.7903944973912311,0.821317298105683
86,0.7906002798114955,0.8200502658690594
87,0.7909816018682151,0.8201437354602857
88,0.7903701716738197,0.8185859089398472
89,0.7906670111714214,0.81893901628448
90,0.791124268913574,0.8190844134263875
91,0.7914529948245392,0.8196867730142905
92,0.7921867110578138,0.820351445663011
93,0.7923984105444752,0.8210161183117315
94,0.7923964381890096,0.8212653705550016
95,0.7929901171842129,0.8221481389165836
96,0.7934115438020701,0.8210888168826853
97,0.7930466580408989,0.8195413758723828
98,0.7930433707817891,0.8190428713858425
99,0.7937363250021039,0.818741691591891
100,0.7944792455608852,0.8195206048521104
101,0.7953056625010518,0.8213899966766368
102,0.7955837646217284,0.8222312229976736
103,0.7953359052848608,0.8213484546360916
104,0.7957639064209372,0.821036889332004
105,0.7964121539173609,0.8223662346294449
106,0.7965673125473365,0.8225324027916251
107,0.7971603340907178,0.8223454636091726
108,0.7976843231927964,0.8210992023928216
109,0.7977264001093999,0.8197594715852443
110,0.7978039794243879,0.8196348454636092
111,0.7980268555920222,0.8203826021934197
112,0.7982707702179584,0.821192671984048
113,0.7983818795758647,0.8208707211698238
114,0.7988690513759151,0.8214419242273181
115,0.798871681183203,0.8195517613825192
116,0.7990288121686442,0.8188767032236623
117,0.7985054805183877,0.8182224160850782
118,0.7983187642009593,0.8178796942505816
119,0.7992076390642092,0.818014705882353
