model,train_ROC,oof_ROC,temporal_ROC,train_minus_oof
L2 supermodel,0.7858069769003492,0.7731172777330111,0.7377280180364828,0.012689699167338087
RandomForest,0.9999999999999999,0.771710272293849,0.7317745695839311,0.22828972770615086
B4 V1 GRU,0.7864944931835394,0.8266294865403789,,-0.040134993356839566
