config,use_eval,hidden,dev_pooled,tmp_pooled,tmp_0M,tmp_1M,tmp_3M,tmp_6M,calib_slope_pooled
V1 noEval h12,False,12,0.7668731533709374,0.7300099918015988,0.6757532281205165,0.7160278745644599,0.7618364418938307,0.7593769215003076,0.8142274960155322
V1 noEval h24,False,24,0.7649035556003223,0.7286393215822915,0.6712441073990572,0.7139782742365239,0.7615290018446402,0.7555851608936257,0.948658819755822
V1 +Eval h12,True,12,0.7828741941982272,0.7514347202295553,0.6754457880713262,0.7153105144496824,0.7994466079114573,0.7900184464029514,0.8108971511633816
V1 +Eval h24,True,24,0.7862287637657802,0.7502818200450911,0.6731912277105965,0.7167452346792376,0.7970895675343308,0.7930928468948554,0.8515057264470121
