group,0M,1M,3M,6M
Goiter (ThyroidW),0.0984,0.0569,0.0167,0.0221
Antibodies,0.0079,-0.0014,0.0003,-0.0006
Chronicity/Sex,-0.0047,-0.0,-0.002,-0.0028
RAI exposure,0.0023,0.0017,-0.0008,0.0001
Hormone level,-0.0014,0.0069,0.0602,0.0031
T3/T4 balance,0.003,0.0007,-0.0018,-0.0019
Momentum (load),0.0,0.0008,0.0004,0.1064
T3/T4 momentum balance,0.0,0.002,-0.0016,0.0025
