feature_set,oof_pooled,tmp_pooled,tmp_0M,tmp_1M,tmp_3M,tmp_6M
"ABCDE (base, no FT3)",0.7731,0.7377,0.6787,0.7209,0.7701,0.7698
ABCDE + FT3,0.7719,0.7382,0.6806,0.7241,0.7694,0.7696
ABCDE + FT3 + Eval,0.7815,0.752,0.6892,0.7185,0.8153,0.7682
ABCDE + FT3 + Eval + TRAb(fu),0.7806,0.7522,0.6892,0.7187,0.8153,0.7683
