Landmark,CalibIntercept,CalibSlope
0M,-0.10263481344706067,0.806332304292518
1M,-0.1290397526271691,0.6893146095414588
3M,-0.19193304015172016,0.5256671535646898
6M,-0.23441077188796652,0.48626814391788464
Pooled,-0.18697507112876716,0.5700098803163727
