group,0M,1M,3M,6M
ThyroidW (goiter),0.0984,0.054,0.0149,0.0198
Antibodies,0.0079,-0.0013,-0.0001,-0.0015
Baseline labs / duration,-0.0047,-0.0001,-0.0034,-0.0046
RAI exposure,0.0024,0.0013,-0.0001,0.0007
"FT3,FT4 combined level & TSH",0.0,0.0033,0.0606,0.0027
"FT3,FT4 gap (T3 dominance)",-0.0,0.001,-0.0015,-0.0019
"FT3,FT4 combined velocity & TSH",0.0,0.0003,0.0005,0.1082
"FT3,FT4 velocity gap",0.0,0.0003,-0.0016,0.0029
