frac,n_episodes,oof_ROC_mean,oof_ROC_std
0.25,200,0.7305284399381584,0.003586766346211996
0.5,401,0.784779299847793,0.009484135923517668
0.75,602,0.7609802210587552,0.005044169348693213
1.0,802,0.762233078162772,0.0
