Landmark,Delta_ROC_vs_L2super,CI_Low,CI_High,excludes_0
Pooled,-0.010890883554943316,-0.031661371236842546,0.01075268200268208,False
0M,0.010534941148611794,-0.0201230153952133,0.04263717918371525,False
1M,-0.003442612358984335,-0.027190211666620345,0.02036178759267152,False
3M,-0.007854526589684399,-0.03506916927038282,0.017455834066118905,False
6M,-0.002247748277799844,-0.029526418202994155,0.025457092453513075,False
