Split,Landmark,N,Events,ROC_AUC,PR_AUC,Brier,ROC_AUC_CI_Low,ROC_AUC_CI_High,CalibIntercept,CalibSlope
Temporal,0M,201,82,0.6769829883172781,0.6549835854218946,0.21364014899723052,0.597342327064182,0.7583506139165217,-0.049620669380251836,0.7825853476108865
Temporal,1M,201,82,0.7240213158434106,0.6824472683400551,0.20497974861999252,0.6526682482608039,0.7986061981187693,-0.0240871365130674,0.8441703550801936
Temporal,3M,201,82,0.7794630047140807,0.7449686058472629,0.18852046636861142,0.7174050065008315,0.8452433628318584,-0.04037575689243848,0.7937992197280918
Temporal,6M,201,82,0.7926829268292683,0.7500654997146046,0.17883376066101417,0.7313572173087728,0.8556721590011063,-0.0457639225550492,0.8867251827906149
Temporal,Pooled,804,328,0.7450681492109039,0.7069430561970522,0.19649353116171214,0.6852214640882675,0.8085878014055493,-0.03308948934024415,0.8422180344897471
