Split,Subgroup,N,Events,ROC_AUC_mean,CI_Low,CI_High
Dev_OOF,Overall,802,292,0.7240060717550264,0.6867331877855638,0.7584615321031751
Dev_OOF,Male (Sex=0),622,229,0.7286190859905219,0.6811120779677318,0.770058130189203
Dev_OOF,Female (Sex=1),180,63,0.7121379660504589,0.6252812484724191,0.7876814692264771
Temporal,Overall,201,82,0.6810007079607628,0.601727010363374,0.7579346484138132
Temporal,Male (Sex=0),135,54,0.6601031035189453,0.5634679314511912,0.7533159796130742
Temporal,Female (Sex=1),66,28,0.7084652095516378,0.5634548786653185,0.8422867063492063
