Split,Metric,Value,CI_Lower,CI_Upper
Dev_OOF,ROC_AUC,0.7240060717550264,0.6867331877855638,0.7584615321031751
Dev_OOF,PR_AUC,0.619285986163497,0.5580244991346942,0.6767877780362062
Dev_OOF,Brier,0.19970477448936122,0.1884555274430583,0.21113121819651895
Temporal_Test,ROC_AUC,0.6810007079607628,0.601727010363374,0.7579346484138132
Temporal_Test,PR_AUC,0.6650155979431536,0.5624554925577152,0.7587579002176396
Temporal_Test,Brier,0.21126772421012124,0.18794812648496179,0.23424763571469162
