feature,PrettyLabel,OR,CI_low,CI_high,p
Sex,Sex,0.8517682808809681,0.7228601215565879,1.0036647238924006,0.05532584519129968
ThyroidW,Thyroid weight,2.6056575174062666,2.0783523170521256,3.2667469525310073,0.0
TPOAb,TPOAb,0.8223912514925049,0.6950869024136989,0.973011242454508,0.02267566387895603
FT4_0M,FT4 (baseline),1.1032965231036018,0.9405437810427877,1.2942121806843567,0.22734472206626344
log1p_DiseaseDuration_Months_Aug,Log disease duration,1.2386164977336003,1.0441902360874618,1.4692445642915848,0.014035570683008869
