Split,Variable,Spearman_rho,Spearman_p,Linear_slope,Linear_R
Dev_OOF (N=802),Dose (mCi),0.6765459429470633,2.0443138961020965e-108,27.643397179980873,0.7059987401606855
Dev_OOF (N=802),Dose per gram (mCi/g),-0.2719655680013935,4.572157455046637e-15,-0.20485159762506872,-0.10435207803625664
Temporal (N=201),Dose (mCi),0.7850845346322091,2.8602180295418266e-43,28.339212719228993,0.8560980701094775
Temporal (N=201),Dose per gram (mCi/g),-0.30621817247994715,9.825207972813721e-06,-0.10534347425017102,-0.29704506228422933
